"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"VK Novi Beograd";"7";"438";"Radomir Drasovic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"1";"0";"0"
"VK Novi Beograd";"12";"1338";"Angelos Vlachopoulos";"5";"9";"3";"5";"1";"1";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VK Novi Beograd";"10";"495";"Filip Filipovic";"1";"5";"0";"3";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"VK Novi Beograd";"9";"2155";"Miroslav Perkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"VK Novi Beograd";"6";"1421";"Dusko Pijetlovic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"1";"0";"2";"0"
"VK Novi Beograd";"5";"16";"Milos Cuk";"3";"6";"2";"3";"0";"1";"0";"1";"1";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0"
"VK Novi Beograd";"4";"1290";"Alvaro Granados";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0"
"VK Novi Beograd";"3";"1329";"Dimitrios Skoumpakis";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"2";"1";"0";"1";"0";"3";"0"
"VK Novi Beograd";"1";"692";"Lazar Dobozanov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"VK Novi Beograd";"2";"1029";"Vasilije Martinovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"FTC-Telekom";"6";"493";"Edoardo Di Somma";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"1";"3";"0";"1";"0"
"FTC-Telekom";"5";"1334";"Stylianos Argyropoulos";"3";"6";"3";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"FTC-Telekom";"2";"496";"Dusan Mandic";"6";"12";"3";"7";"1";"2";"1";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"FTC-Telekom";"10";"1349";"Denes Varga";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"1";"0";"1";"1";"0";"0"
"FTC-Telekom";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"11"
"FTC-Telekom";"1";"14197";"Daniel Szakonyi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VK Novi Beograd";"13";"18153";"Francesco De Michelis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"VK Novi Beograd";"8";"723";"Marko Radulovic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
"FTC-Telekom";"11";"1347";"Szilard Jansik";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"FTC-Telekom";"4";"1411";"Daniil Merkulov";"4";"8";"3";"5";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"FTC-Telekom";"7";"2367";"Gergo Fekete";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"FTC-Telekom";"8";"2368";"Vendel Vigvari";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0"
"FTC-Telekom";"12";"531";"Luca Damonte";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"FTC-Telekom";"3";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"2";"0"
"FTC-Telekom";"9";"817";"Adam Nagy";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0"
"VK Novi Beograd";"11";"696";"Nikola Lukic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
