"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Pro Recco";"11";"6037";"Francesco Condemi";"2";"6";"2";"5";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0"
"Pro Recco";"10";"177";"Konstantinos Kakaris";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"2";"0"
"Pro Recco";"9";"1374";"Aleksandar Ivovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Pro Recco";"8";"1360";"Gonzalo Echenique";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Pro Recco";"7";"134";"Nicholas Presciutti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"3";"0";"1";"0"
"Pro Recco";"5";"441";"Aaron Younger";"3";"4";"3";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Pro Recco";"12";"2220";"Ben Hallock";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"2";"0"
"Pro Recco";"4";"136";"Giacomo Cannella";"1";"8";"0";"5";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0"
"Pro Recco";"3";"1343";"Gergo Zalanki";"2";"6";"2";"3";"0";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0";"0"
"Pro Recco";"2";"1354";"Francesco Di Fulvio";"3";"5";"2";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"3";"0";"0";"1";"0";"1";"0";"0"
"Pro Recco";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"7"
"Pro Recco";"6";"1357";"Andrea Fondelli";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Pro Recco";"13";"795";"Tommaso Negri";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Olympiacos Piraeus";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"Olympiacos Piraeus";"2";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"1";"0";"1";"0"
"Olympiacos Piraeus";"3";"1344";"Marton Vamos";"3";"6";"2";"3";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0"
"Olympiacos Piraeus";"4";"1328";"Konstantinos Genidounias";"4";"8";"3";"7";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0"
"Olympiacos Piraeus";"5";"1331";"Ioannis Fountoulis";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Olympiacos Piraeus";"6";"861";"Konstantinos Gouvis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Olympiacos Piraeus";"7";"4822";"Nikolaos Gkillas";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"8";"483";"Andro Buslje";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0"
"Olympiacos Piraeus";"9";"11477";"Ioannis Alafragkis";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0"
"Olympiacos Piraeus";"10";"11480";"Dimitris Dimou";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Olympiacos Piraeus";"11";"128";"Dimitrios Nikolaidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"12";"1332";"Alexandros Papanastasiou";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0";"0"
"Olympiacos Piraeus";"13";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
