"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Pro Recco";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Pro Recco";"2";"1354";"Francesco Di Fulvio";"2";"5";"0";"2";"0";"0";"2";"3";"0";"0";"0";"0";"0";"4";"2";"0";"1";"2";"0";"2";"0"
"Pro Recco";"3";"1343";"Gergo Zalanki";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Pro Recco";"4";"136";"Giacomo Cannella";"1";"4";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"1";"3";"0";"0";"0";"2";"0";"1";"0"
"Pro Recco";"5";"441";"Aaron Younger";"2";"6";"1";"3";"0";"0";"0";"2";"1";"1";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0"
"Pro Recco";"6";"1357";"Andrea Fondelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Pro Recco";"7";"134";"Nicholas Presciutti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
"Pro Recco";"8";"1360";"Gonzalo Echenique";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"1";"0"
"Pro Recco";"9";"6037";"Francesco Condemi";"0";"4";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Pro Recco";"10";"177";"Konstantinos Kakaris";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"1";"0";"2";"0"
"Pro Recco";"11";"6039";"Matteo Iocchi Gratta";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Pro Recco";"12";"2220";"Ben Hallock";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"1";"1";"0"
"Pro Recco";"13";"795";"Tommaso Negri";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"FTC-Telekom";"1";"14197";"Daniel Szakonyi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"FTC-Telekom";"2";"496";"Dusan Mandic";"4";"7";"2";"3";"0";"1";"1";"2";"1";"1";"0";"0";"2";"0";"0";"1";"0";"2";"0";"1";"0"
"FTC-Telekom";"4";"1411";"Daniil Merkulov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"3";"0";"0";"0"
"FTC-Telekom";"5";"1334";"Stylianos Argyropoulos";"2";"6";"0";"2";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"FTC-Telekom";"6";"493";"Edoardo Di Somma";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"3";"0";"1";"1";"2";"1";"1";"0"
"FTC-Telekom";"7";"2367";"Gergo Fekete";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0"
"FTC-Telekom";"10";"1349";"Denes Varga";"2";"3";"0";"0";"0";"0";"1";"2";"1";"1";"0";"0";"3";"0";"1";"0";"0";"2";"1";"0";"0"
"FTC-Telekom";"11";"1347";"Szilard Jansik";"2";"5";"0";"1";"0";"0";"1";"3";"0";"0";"1";"1";"0";"1";"0";"1";"0";"2";"0";"0";"0"
"FTC-Telekom";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"FTC-Telekom";"3";"1346";"Zoltan Pohl";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"FTC-Telekom";"8";"2368";"Vendel Vigvari";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"1";"0";"0"
"FTC-Telekom";"9";"450";"Toni Josef Nemet";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"1";"2";"0"
"FTC-Telekom";"12";"817";"Adam Nagy";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"3";"1";"0";"0"
