"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Jadran Split";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"Radnicki Kragujevac";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Radnicki Kragujevac";"2";"733";"Strahinja Rasovic";"1";"6";"1";"3";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0"
"Radnicki Kragujevac";"3";"700";"Nemanja Stanojevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"3";"1";"0";"0"
"Radnicki Kragujevac";"4";"693";"Filip Jankovic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"Radnicki Kragujevac";"6";"1421";"Dusko Pijetlovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"1";"2";"0"
"Radnicki Kragujevac";"7";"438";"Radomir Drasovic";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Radnicki Kragujevac";"8";"464";"Nikola Jaksic";"1";"3";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"4";"0";"0";"0";"1";"1";"0";"0"
"Radnicki Kragujevac";"9";"715";"Dusan Vasic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Radnicki Kragujevac";"10";"1051";"Lazar Vickovic";"4";"5";"1";"2";"0";"0";"2";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Radnicki Kragujevac";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Radnicki Kragujevac";"12";"1038";"Nikola Murisic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0"
"Radnicki Kragujevac";"13";"695";"Stefan Todorovski";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jadran Split";"2";"89";"Marino Cagalj";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"3";"0";"0";"0"
"Jadran Split";"3";"917";"Jerko Marinic Kragic";"2";"5";"1";"2";"0";"0";"1";"3";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"2";"0";"0"
"Jadran Split";"4";"2595";"Toni Radan";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Jadran Split";"5";"65";"Zvonimir Butic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"0"
"Jadran Split";"6";"64";"Duje Pejkovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"3";"0";"0";"0"
"Jadran Split";"7";"82";"Marin Tomasovic";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Jadran Split";"8";"61";"Ivan Domagoj Zovic";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"3";"1";"1";"0";"0"
"Jadran Split";"9";"15258";"Marcus Berehulak";"2";"4";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Jadran Split";"10";"96";"Dusan Banicevic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"2";"0"
"Jadran Split";"11";"77";"Loren Fatovic";"6";"8";"2";"2";"2";"3";"2";"3";"0";"0";"0";"0";"1";"6";"1";"1";"0";"2";"0";"0";"0"
"Jadran Split";"12";"62";"Antonio Duzevic";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0"
"Radnicki Kragujevac";"5";"1483";"Valiko Dadvani";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Jadran Split";"13";"67";"Martin Celar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
