"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"VK Novi Beograd";"1";"18150";"Milan Glusac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"VK Novi Beograd";"2";"12478";"Bilal Gbadamassi";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"VK Novi Beograd";"4";"1029";"Vasilije Martinovic";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0"
"VK Novi Beograd";"5";"16";"Milos Cuk";"1";"5";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"VK Novi Beograd";"6";"1368";"Djuro Radovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"VK Novi Beograd";"7";"721";"Djordje Vucinic";"4";"6";"1";"3";"0";"0";"3";"3";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0"
"VK Novi Beograd";"9";"2155";"Miroslav Perkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"2";"0"
"VK Novi Beograd";"10";"1338";"Angelos Vlachopoulos";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"2";"1";"0";"0"
"VK Novi Beograd";"11";"696";"Nikola Lukic";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0"
"VK Novi Beograd";"13";"8425";"Petar Pajkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VK Novi Beograd";"3";"1329";"Dimitrios Skoumpakis";"4";"5";"4";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"1";"0"
"VK Novi Beograd";"8";"4549";"Strahinja Krstic";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"2";"0";"0"
"VK Novi Beograd";"12";"13695";"Viktor Urosevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"1";"777";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"12"
"CSA Steaua";"2";"18154";"Nebojsa Vuskovic";"2";"7";"1";"4";"0";"0";"0";"2";"0";"0";"1";"1";"1";"1";"2";"0";"1";"0";"3";"0";"0"
"CSA Steaua";"3";"1398";"Vlad Georgescu";"2";"8";"2";"5";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"3";"1";"0"
"CSA Steaua";"4";"1399";"Tudor Fulea";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"2";"1";"1";"2";"0";"0"
"CSA Steaua";"5";"2070";"David Bota";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"CSA Steaua";"7";"17468";"Ivan Zivkovic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"9";"126";"Silvian Colodrovschi";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0"
"CSA Steaua";"10";"1401";"Nicolae Oanta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CSA Steaua";"11";"779";"Francesco Iudean";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0"
"CSA Steaua";"12";"13709";"Andrei Tepelus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"0"
"CSA Steaua";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"8";"12431";"Raducu Dinca";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CSA Steaua";"14";"12434";"Andrei Neamtu";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
