"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Zodiac CNAB";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Zodiac CNAB";"2";"410";"Martin Famera";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"1";"0";"0";"0"
"Zodiac CNAB";"3";"1290";"Alvaro Granados";"6";"8";"2";"4";"0";"0";"4";"4";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"2";"0";"0"
"Zodiac CNAB";"4";"1289";"Alberto Munarriz";"1";"3";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"6";"2";"0";"0";"0";"1";"2";"0";"0"
"Zodiac CNAB";"5";"1291";"Bernat Sanahuja";"3";"7";"3";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Zodiac CNAB";"6";"4837";"Vince Vigvari";"3";"8";"0";"1";"0";"0";"3";"6";"0";"0";"0";"1";"4";"1";"0";"1";"0";"2";"0";"0";"0"
"Zodiac CNAB";"7";"13705";"Biel Gomila";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Zodiac CNAB";"8";"374";"Gergely Burian";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"9";"1296";"Roger Tahull";"2";"3";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"Zodiac CNAB";"10";"1297";"Felipe Perrone";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"1";"0";"2";"1";"0";"0"
"Zodiac CNAB";"11";"420";"Unai Biel";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"Zodiac CNAB";"12";"1299";"Alejandro Bustos";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"1";"0"
"Zodiac CNAB";"13";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Marseille";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"CN Marseille";"2";"1341";"Daniel Angyal";"4";"4";"1";"1";"0";"0";"3";"3";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1";"0"
"CN Marseille";"3";"1307";"Ugo Crousillat";"2";"4";"0";"0";"0";"1";"1";"2";"0";"0";"1";"1";"2";"1";"0";"0";"0";"1";"0";"1";"0"
"CN Marseille";"4";"11475";"Andrea De Nardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"CN Marseille";"5";"379";"Andrija Prlainovic";"3";"5";"2";"2";"0";"0";"1";"2";"0";"1";"0";"0";"2";"0";"0";"0";"0";"3";"0";"1";"0"
"CN Marseille";"6";"1304";"Thomas Vernoux";"1";"7";"1";"5";"0";"0";"0";"2";"0";"0";"0";"0";"3";"4";"0";"1";"0";"2";"1";"2";"0"
"CN Marseille";"7";"1293";"Marc Larumbe";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"CN Marseille";"8";"2380";"Alexandre Bouet";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"CN Marseille";"9";"1303";"Romain Marion-Vernoux";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"CN Marseille";"10";"1362";"Michael Bodegas";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1";"0";"0";"0";"0";"0"
"CN Marseille";"11";"1311";"Pierre-Frederic Vanpeperstraete";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Marseille";"12";"1358";"Alessandro Velotto";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Marseille";"13";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
