"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Radnicki Kragujevac";"11";"1059";"Petar Jaksic";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"4";"0";"0";"2";"1";"0";"0"
"Radnicki Kragujevac";"10";"1051";"Lazar Vickovic";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Radnicki Kragujevac";"9";"715";"Dusan Vasic";"3";"5";"0";"1";"0";"0";"1";"2";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0"
"Radnicki Kragujevac";"8";"464";"Nikola Jaksic";"3";"4";"0";"0";"0";"1";"2";"2";"1";"1";"0";"0";"1";"2";"1";"0";"0";"0";"3";"0";"0"
"Radnicki Kragujevac";"7";"438";"Radomir Drasovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Radnicki Kragujevac";"5";"1483";"Valiko Dadvani";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Radnicki Kragujevac";"4";"693";"Filip Jankovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Radnicki Kragujevac";"3";"700";"Nemanja Stanojevic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"Radnicki Kragujevac";"2";"733";"Strahinja Rasovic";"1";"5";"0";"2";"0";"0";"0";"1";"0";"0";"1";"2";"1";"0";"1";"1";"2";"1";"0";"0";"0"
"Radnicki Kragujevac";"1";"718";"Radoslav Filipovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Dinamo Tbilisi";"11";"13766";"Luka Chikovani";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinamo Tbilisi";"12";"1377";"Stefan Pjesivac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"6";"1";"0"
"Dinamo Tbilisi";"8";"1019";"Veljko Tankosic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"2";"1";"0"
"Dinamo Tbilisi";"6";"1260";"Boris Vapenski";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"3";"1";"1";"2";"0";"1";"2";"0";"0"
"Dinamo Tbilisi";"5";"2455";"Saba Tkeshelashvili";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Dinamo Tbilisi";"4";"947";"Artsiom Dzikhtsiarenka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"4";"1";"2";"3";"3";"0";"0"
"Dinamo Tbilisi";"3";"2369";"Besarion Akhvlediani";"1";"4";"0";"1";"0";"0";"0";"2";"0";"0";"1";"1";"1";"2";"2";"0";"0";"2";"0";"0";"0"
"Dinamo Tbilisi";"2";"14359";"Luka Mtchedlishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Dinamo Tbilisi";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Radnicki Kragujevac";"12";"1038";"Nikola Murisic";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"2";"1";"0"
"Radnicki Kragujevac";"13";"695";"Stefan Todorovski";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinamo Tbilisi";"7";"1255";"Khvicha Jakhaia";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Dinamo Tbilisi";"9";"1252";"Revaz Imnaishvili";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Dinamo Tbilisi";"10";"14358";"Maksim Malyshau";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinamo Tbilisi";"13";"888";"Beka Kapanadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Radnicki Kragujevac";"6";"4783";"Bogdan Gavrilovic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"1";"0";"1";"1";"1";"0"
