"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"VK Novi Beograd";"1";"18150";"Milan Glusac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"8"
"VK Novi Beograd";"2";"12478";"Bilal Gbadamassi";"1";"3";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"VK Novi Beograd";"3";"1329";"Dimitrios Skoumpakis";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"VK Novi Beograd";"4";"1029";"Vasilije Martinovic";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"1";"1";"0"
"VK Novi Beograd";"5";"16";"Milos Cuk";"1";"5";"1";"2";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"VK Novi Beograd";"6";"8583";"Dusan Trtovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"VK Novi Beograd";"7";"721";"Djordje Vucinic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"1";"1";"0"
"VK Novi Beograd";"8";"13696";"Marko Dimitrijevic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"VK Novi Beograd";"9";"2155";"Miroslav Perkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"2";"0"
"VK Novi Beograd";"10";"1338";"Angelos Vlachopoulos";"3";"5";"0";"2";"0";"0";"1";"1";"2";"2";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"0"
"VK Novi Beograd";"11";"696";"Nikola Lukic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"2";"0";"0"
"VK Novi Beograd";"12";"4549";"Strahinja Krstic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"2";"0"
"VK Novi Beograd";"13";"8425";"Petar Pajkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hannover 1898";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Hannover 1898";"2";"74";"Marko Macan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Hannover 1898";"3";"1490";"Niclas Schipper";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Hannover 1898";"4";"22761";"Marek Langiewicz Kacper";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Hannover 1898";"5";"12168";"Lukas Kuppers";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Hannover 1898";"7";"76";"Luka Lozina";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"2";"0"
"Hannover 1898";"8";"127";"Antonio Buha";"1";"7";"0";"5";"0";"0";"1";"2";"0";"0";"0";"0";"2";"1";"1";"0";"0";"2";"2";"0";"0"
"Hannover 1898";"9";"1475";"Aleks Sekulic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Hannover 1898";"10";"2593";"Nikola Milardovic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"2";"0";"0"
"Hannover 1898";"11";"22760";"Kristof Takacs";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Hannover 1898";"12";"5001";"Mark Gansen";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"Hannover 1898";"13";"14209";"Henry Bock";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hannover 1898";"6";"22762";"Luk Jaeschke";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0"
