"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"CN Sabadell";"11";"564";"Axel Corres Fernandez";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"CN Sabadell";"10";"568";"Jan Perez";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"0";"0";"0"
"CN Sabadell";"9";"94";"Kanstantin Averka";"4";"4";"2";"2";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"4";"0";"0";"0";"0"
"CN Sabadell";"8";"1359";"Vincenzo Renzuto";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"2";"1";"0";"0"
"CN Sabadell";"7";"356";"Alberto Barroso";"3";"13";"2";"8";"0";"2";"1";"3";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"1";"0";"0"
"CN Sabadell";"6";"12362";"Fran Valera";"3";"8";"2";"5";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"CN Sabadell";"5";"13701";"Josep Bonet Saez";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Sabadell";"4";"1318";"Fynn Schutze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"CN Sabadell";"3";"5018";"Oscar Asensio";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0"
"CN Sabadell";"2";"18";"Alex Bowen";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
"CN Sabadell";"1";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"7"
"VPK Primorac";"13";"2152";"Dragoljub Cetkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VPK Primorac";"11";"2169";"Petar Cetkovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0"
"CN Sabadell";"12";"14363";"Jose Javier Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"3";"0";"1";"0"
"VPK Primorac";"10";"8271";"Tim Perov";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0"
"VPK Primorac";"9";"1422";"Nemanja Vico";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"0";"0"
"VPK Primorac";"8";"4627";"Srdjan Janovic";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VPK Primorac";"7";"2133";"Dusan Matkovic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"VPK Primorac";"6";"104";"Luka Murisic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"VPK Primorac";"5";"2189";"Marko Mrsic";"4";"7";"1";"2";"1";"2";"0";"1";"2";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"VPK Primorac";"4";"1484";"Nika Shushiashvili";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"1";"0";"0"
"VPK Primorac";"3";"2393";"Savo Cetkovic";"3";"4";"2";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
"VPK Primorac";"2";"1367";"Drasko Brguljan";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"2";"0";"2";"3";"0";"0"
"VPK Primorac";"1";"490";"Francesco Massaro";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"VPK Primorac";"12";"2137";"Dordije Stanojevic";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0"
"CN Sabadell";"13";"14361";"Xavier Teclas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
