"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"CSA Steaua";"1";"777";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"10"
"CSA Steaua";"2";"18154";"Nebojsa Vuskovic";"2";"6";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"2";"2";"1";"0"
"CSA Steaua";"3";"1398";"Vlad Georgescu";"5";"11";"3";"9";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"CSA Steaua";"4";"1399";"Tudor Fulea";"4";"6";"2";"3";"0";"0";"1";"2";"0";"0";"1";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"5";"2070";"David Bota";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"1";"0";"1";"0"
"CSA Steaua";"7";"17468";"Ivan Zivkovic";"2";"5";"0";"3";"0";"0";"2";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"8";"12431";"Raducu Dinca";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"9";"126";"Silvian Colodrovschi";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0"
"CSA Steaua";"10";"1401";"Nicolae Oanta";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0"
"CSA Steaua";"11";"779";"Francesco Iudean";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"CSA Steaua";"12";"13709";"Andrei Tepelus";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"CSA Steaua";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSM Oradea";"1";"692";"Lazar Dobozanov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"15"
"CSM Oradea";"2";"16647";"David Belenyesi";"4";"7";"2";"4";"0";"0";"1";"2";"0";"0";"1";"1";"1";"2";"2";"0";"0";"2";"1";"0";"0"
"CSM Oradea";"3";"1394";"Tiberiu Negrean";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0"
"CSM Oradea";"4";"1395";"Mihnea Andrei Gheorghe";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CSM Oradea";"5";"2006";"Tomasso Insinna";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSM Oradea";"6";"2081";"Horatiu Ilisie";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"1";"4";"2";"5";"0";"0"
"CSM Oradea";"7";"1017";"Ivan Gusarov";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0"
"CSM Oradea";"8";"112";"Filip Gardasevic";"8";"13";"4";"7";"0";"1";"0";"1";"4";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CSM Oradea";"9";"22763";"Manuel Klutsch";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CSM Oradea";"10";"1403";"Levente Vancsik";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"3";"0";"0";"0";"1";"0";"3";"0"
"CSM Oradea";"11";"13852";"Adrian Pascaluta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"CSM Oradea";"12";"719";"Petar Velkic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"0"
"CSM Oradea";"13";"125";"Raul Ionut Gavris";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"14";"12434";"Andrei Neamtu";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
