"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"PVK Jadran";"1";"102";"Darko Durovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"PVK Jadran";"2";"1479";"Dmitri Kholod";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"4";"2";"2";"1";"0"
"PVK Jadran";"3";"103";"Uros Vucurovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0"
"PVK Jadran";"4";"1371";"Dimitrije Obradovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"PVK Jadran";"5";"109";"Jovan Vujovic";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"1";"1";"0"
"PVK Jadran";"6";"98";"Danilo Radovic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"PVK Jadran";"9";"1374";"Aleksandar Ivovic";"2";"7";"1";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"PVK Jadran";"10";"2127";"Matija Sladovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"PVK Jadran";"12";"111";"Vasilije Radovic";"0";"5";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"PVK Jadran";"13";"110";"Ilija Radovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Marseille";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"CN Marseille";"2";"1341";"Daniel Angyal";"0";"5";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"3";"0";"0";"0"
"CN Marseille";"3";"1307";"Ugo Crousillat";"3";"6";"2";"3";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Marseille";"4";"11475";"Andrea De Nardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Marseille";"5";"379";"Andrija Prlainovic";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"CN Marseille";"6";"1304";"Thomas Vernoux";"2";"3";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"1";"1";"1";"0"
"CN Marseille";"7";"1293";"Marc Larumbe";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"CN Marseille";"8";"2380";"Alexandre Bouet";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"CN Marseille";"9";"1303";"Romain Marion-Vernoux";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"CN Marseille";"10";"1362";"Michael Bodegas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"1";"1";"0"
"CN Marseille";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"CN Marseille";"12";"1358";"Alessandro Velotto";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"1";"0";"0"
"CN Marseille";"13";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PVK Jadran";"7";"440";"Djordje Lazic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7";"1";"0";"0";"0";"0";"1";"0"
"PVK Jadran";"8";"4628";"Strahinja Gojkovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"PVK Jadran";"11";"4623";"Danilo Stupar";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
