"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Rari Nantes Savona";"11";"6041";"Andrea Patchaliev";"0";"5";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"2";"0";"0";"1";"0";"0";"0"
"Rari Nantes Savona";"10";"18187";"Mario Guidi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"2";"0";"1";"0"
"Rari Nantes Savona";"9";"13755";"Alessandro Gullotta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Rari Nantes Savona";"8";"532";"Lorenzo Bruni";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"3";"0";"0";"0"
"Rari Nantes Savona";"7";"1411";"Daniil Merkulov";"2";"6";"1";"3";"0";"1";"0";"1";"1";"1";"0";"0";"0";"2";"0";"1";"0";"2";"1";"0";"0"
"Rari Nantes Savona";"6";"18190";"Valerio Rizzo";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"1";"2";"0"
"Rari Nantes Savona";"5";"6038";"Davide Occhione";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Rari Nantes Savona";"4";"1356";"Pietro Figlioli";"6";"10";"2";"4";"1";"2";"2";"3";"1";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"3";"531";"Luca Damonte";"3";"6";"0";"2";"0";"0";"3";"4";"0";"0";"0";"0";"2";"2";"1";"0";"0";"2";"1";"0";"0"
"Rari Nantes Savona";"2";"18186";"Niccolo Rocchi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0"
"Rari Nantes Savona";"1";"535";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"CN Sabadell";"13";"14361";"Xavier Teclas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Sabadell";"11";"564";"Axel Corres Fernandez";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"1";"0";"0";"1";"0";"0"
"CN Sabadell";"10";"568";"Jan Perez";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"0";"1";"0"
"CN Sabadell";"9";"94";"Kanstantin Averka";"4";"6";"1";"3";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0"
"CN Sabadell";"8";"1359";"Vincenzo Renzuto";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0";"3";"0";"0";"0"
"CN Sabadell";"7";"356";"Alberto Barroso";"4";"9";"2";"4";"1";"2";"1";"2";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1";"0"
"CN Sabadell";"6";"12362";"Fran Valera";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"2";"3";"0";"1";"0";"2";"1";"0";"0"
"CN Sabadell";"5";"13701";"Josep Bonet Saez";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Sabadell";"4";"1318";"Fynn Schutze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Sabadell";"3";"5018";"Oscar Asensio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"1";"2";"0";"0"
"CN Sabadell";"2";"18";"Alex Bowen";"2";"7";"1";"4";"0";"0";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"CN Sabadell";"1";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"12"
"CN Sabadell";"12";"14363";"Jose Javier Bustos";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Rari Nantes Savona";"13";"6031";"Nicolo Da Rold";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rari Nantes Savona";"12";"18189";"Tommaso Cora";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
