"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Vasas Plaket";"1";"371";"Marton Levai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"Vasas Plaket";"2";"13739";"Soma Lakatos";"2";"4";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"1";"0";"0"
"Vasas Plaket";"3";"190";"Nikola Dedovic";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"2";"2";"1";"0"
"Vasas Plaket";"4";"381";"Sava Randjelovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"2";"0";"2";"1";"0";"0"
"Vasas Plaket";"5";"17500";"Lorinc Gabor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vasas Plaket";"7";"17501";"Dome Dala";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"1";"0"
"Vasas Plaket";"8";"1373";"Bogdan Djurdjic";"3";"9";"2";"6";"1";"2";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"Vasas Plaket";"9";"22767";"David Mijic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Vasas Plaket";"10";"428";"Bence Batori";"2";"5";"0";"2";"0";"1";"2";"2";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"2";"1";"0"
"Vasas Plaket";"11";"17560";"Roland Gaszt";"1";"5";"1";"2";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Vasas Plaket";"12";"4831";"Benedek Batizi";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Vasas Plaket";"13";"17503";"Marton Mizsei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Zodiac CNAB";"1";"581";"Unai Aguirre";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Zodiac CNAB";"2";"410";"Martin Famera";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"1";"0"
"Zodiac CNAB";"3";"1290";"Alvaro Granados";"4";"9";"1";"5";"1";"1";"1";"2";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0"
"Zodiac CNAB";"4";"1289";"Alberto Munarriz";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"5";"1291";"Bernat Sanahuja";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0"
"Zodiac CNAB";"6";"4837";"Vince Vigvari";"4";"4";"3";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"3";"0";"0";"0"
"Zodiac CNAB";"7";"582";"Marc Valls Ferrer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0"
"Zodiac CNAB";"8";"374";"Gergely Burian";"1";"3";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Zodiac CNAB";"9";"1296";"Roger Tahull";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0"
"Zodiac CNAB";"10";"1297";"Felipe Perrone";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"2";"0";"0";"1";"1";"0"
"Zodiac CNAB";"11";"420";"Unai Biel";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"12";"1299";"Alejandro Bustos";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0"
"Zodiac CNAB";"13";"17218";"Bruno Delmas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Vasas Plaket";"6";"4584";"Zeteny Martin-Toth";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
