"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Zodiac CNAB";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5"
"Zodiac CNAB";"2";"410";"Martin Famera";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0"
"Zodiac CNAB";"3";"1290";"Alvaro Granados";"3";"6";"0";"1";"0";"0";"2";"2";"0";"1";"1";"2";"3";"0";"3";"0";"0";"0";"2";"0";"0"
"Zodiac CNAB";"4";"17210";"Unai Lema";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Zodiac CNAB";"5";"1291";"Bernat Sanahuja";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3";"2";"1";"0";"0";"3";"0";"0";"0"
"Zodiac CNAB";"6";"4837";"Vince Vigvari";"0";"5";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"1";"1";"0"
"Zodiac CNAB";"7";"582";"Marc Valls Ferrer";"2";"3";"1";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"Zodiac CNAB";"8";"374";"Gergely Burian";"2";"5";"0";"3";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Zodiac CNAB";"9";"1296";"Roger Tahull";"5";"6";"3";"4";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"10";"1297";"Felipe Perrone";"2";"3";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0"
"Zodiac CNAB";"11";"420";"Unai Biel";"2";"2";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"3";"2";"1";"3";"0";"2";"0";"0";"0"
"Zodiac CNAB";"12";"1299";"Alejandro Bustos";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"1";"2";"0";"1";"0";"0";"0"
"Zodiac CNAB";"13";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"PVK Jadran";"1";"102";"Darko Durovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"PVK Jadran";"2";"1479";"Dmitri Kholod";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"3";"1";"2";"2";"0"
"PVK Jadran";"3";"103";"Uros Vucurovic";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"PVK Jadran";"4";"1371";"Dimitrije Obradovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"PVK Jadran";"5";"109";"Jovan Vujovic";"0";"5";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0"
"PVK Jadran";"6";"98";"Danilo Radovic";"2";"9";"1";"5";"0";"2";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"3";"0";"0"
"PVK Jadran";"7";"440";"Djordje Lazic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"PVK Jadran";"8";"2126";"Damjan Vujicic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"PVK Jadran";"9";"4620";"Tadija Matijasevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PVK Jadran";"10";"2127";"Matija Sladovic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"3";"1";"0";"0";"1";"3";"0";"0"
"PVK Jadran";"11";"4623";"Danilo Stupar";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0"
"PVK Jadran";"12";"4628";"Strahinja Gojkovic";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"PVK Jadran";"13";"110";"Ilija Radovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2"
