"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"FTC-Telekom";"1";"14197";"Daniel Szakonyi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"FTC-Telekom";"2";"496";"Dusan Mandic";"4";"5";"4";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0"
"FTC-Telekom";"3";"1342";"Krisztian Manhercz";"4";"7";"2";"5";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"2";"1";"1";"0";"0";"0";"0"
"FTC-Telekom";"4";"817";"Adam Nagy";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"FTC-Telekom";"5";"1344";"Marton Vamos";"2";"4";"0";"1";"0";"0";"2";"3";"0";"0";"0";"0";"3";"0";"1";"1";"0";"0";"1";"0";"0"
"FTC-Telekom";"6";"493";"Edoardo Di Somma";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0"
"FTC-Telekom";"7";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0"
"FTC-Telekom";"8";"1334";"Stylianos Argyropoulos";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0"
"FTC-Telekom";"9";"450";"Toni Josef Nemet";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"1";"0"
"FTC-Telekom";"10";"2368";"Vendel Vigvari";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"2";"0";"1";"0";"0"
"FTC-Telekom";"11";"1347";"Szilard Jansik";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"1";"1";"2";"0";"0";"3";"0";"0";"0"
"FTC-Telekom";"12";"1292";"Miguel de Toro";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"1";"0"
"FTC-Telekom";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"14"
"Radnicki Kragujevac";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Radnicki Kragujevac";"2";"4783";"Bogdan Gavrilovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Radnicki Kragujevac";"3";"700";"Nemanja Stanojevic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0"
"Radnicki Kragujevac";"4";"693";"Filip Jankovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Radnicki Kragujevac";"5";"1483";"Valiko Dadvani";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Radnicki Kragujevac";"6";"1421";"Dusko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"2";"2";"0"
"Radnicki Kragujevac";"7";"438";"Radomir Drasovic";"1";"3";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"1";"0"
"Radnicki Kragujevac";"8";"464";"Nikola Jaksic";"1";"4";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0"
"Radnicki Kragujevac";"9";"715";"Dusan Vasic";"0";"3";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"2";"0"
"Radnicki Kragujevac";"10";"1051";"Lazar Vickovic";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Radnicki Kragujevac";"11";"1059";"Petar Jaksic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"0";"0"
"Radnicki Kragujevac";"12";"1038";"Nikola Murisic";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0"
"Radnicki Kragujevac";"13";"695";"Stefan Todorovski";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
