"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hannover 1898";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Hannover 1898";"2";"74";"Marko Macan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Hannover 1898";"3";"1490";"Niclas Schipper";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0"
"Hannover 1898";"4";"22761";"Marek Langiewicz Kacper";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Hannover 1898";"5";"12168";"Lukas Kuppers";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hannover 1898";"6";"1320";"Denis Strelezkij";"1";"5";"0";"0";"0";"1";"1";"3";"0";"0";"0";"1";"2";"2";"0";"0";"0";"1";"1";"0";"0"
"Hannover 1898";"7";"76";"Luka Lozina";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"6";"2";"0";"0";"0";"1";"3";"0"
"Hannover 1898";"8";"127";"Antonio Buha";"3";"5";"0";"1";"0";"1";"2";"2";"1";"1";"0";"0";"1";"4";"0";"0";"0";"1";"1";"1";"0"
"Hannover 1898";"9";"22762";"Luk Jaeschke";"0";"3";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0"
"Hannover 1898";"10";"2593";"Nikola Milardovic";"1";"3";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"2";"1";"1";"0"
"Hannover 1898";"11";"73";"Hrvoje Benic";"0";"5";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"1";"0"
"Hannover 1898";"12";"5001";"Mark Gansen";"2";"6";"0";"2";"0";"0";"2";"3";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"Hannover 1898";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"1";"777";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"14"
"CSA Steaua";"2";"18154";"Nebojsa Vuskovic";"2";"7";"2";"4";"0";"0";"0";"3";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"3";"1398";"Vlad Georgescu";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"CSA Steaua";"4";"1399";"Tudor Fulea";"3";"5";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"4";"2";"0";"1";"1";"2";"2";"0";"0"
"CSA Steaua";"5";"2070";"David Bota";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"2";"0";"0";"0";"0";"2";"0"
"CSA Steaua";"7";"17468";"Ivan Zivkovic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"8";"12431";"Raducu Dinca";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"CSA Steaua";"9";"126";"Silvian Colodrovschi";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"0";"0";"0"
"CSA Steaua";"10";"1401";"Nicolae Oanta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"CSA Steaua";"11";"779";"Francesco Iudean";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"1";"0";"0"
"CSA Steaua";"12";"13709";"Andrei Tepelus";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"CSA Steaua";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CSA Steaua";"14";"12434";"Andrei Neamtu";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"1";"0"
