"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Dinamo Tbilisi";"11";"13766";"Luka Chikovani";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Dinamo Tbilisi";"10";"1255";"Khvicha Jakhaia";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Dinamo Tbilisi";"9";"1252";"Revaz Imnaishvili";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Dinamo Tbilisi";"8";"1019";"Veljko Tankosic";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"3";"0";"0"
"Dinamo Tbilisi";"7";"12213";"Sandro Adeishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0"
"Dinamo Tbilisi";"6";"1260";"Boris Vapenski";"0";"5";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"0"
"Dinamo Tbilisi";"5";"2455";"Saba Tkeshelashvili";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Dinamo Tbilisi";"4";"947";"Artsiom Dzikhtsiarenka";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Dinamo Tbilisi";"3";"2369";"Besarion Akhvlediani";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"Dinamo Tbilisi";"2";"14359";"Luka Mtchedlishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinamo Tbilisi";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15"
"Jadran Split";"12";"62";"Antonio Duzevic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"2";"0"
"Dinamo Tbilisi";"12";"1377";"Stefan Pjesivac";"0";"8";"0";"6";"0";"0";"0";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Jadran Split";"11";"77";"Loren Fatovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"2";"0"
"Jadran Split";"10";"96";"Dusan Banicevic";"3";"3";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Jadran Split";"9";"15258";"Marcus Berehulak";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"Jadran Split";"8";"61";"Ivan Domagoj Zovic";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"1";"0";"4";"0";"1";"0";"0"
"Jadran Split";"7";"82";"Marin Tomasovic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Jadran Split";"6";"64";"Duje Pejkovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"2";"0";"0";"0"
"Jadran Split";"5";"65";"Zvonimir Butic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0";"0"
"Jadran Split";"3";"917";"Jerko Marinic Kragic";"3";"5";"1";"3";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0"
"Jadran Split";"2";"89";"Marino Cagalj";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Jadran Split";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15"
"Jadran Split";"13";"67";"Martin Celar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Dinamo Tbilisi";"13";"2372";"Giorgi Gvetadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jadran Split";"4";"23184";"Petar Vodopivec";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
