"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"CN Marseille";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"CN Marseille";"10";"1362";"Michael Bodegas";"3";"4";"1";"1";"0";"0";"1";"2";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"4";"0"
"CN Marseille";"9";"1303";"Romain Marion-Vernoux";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0"
"CN Marseille";"8";"2380";"Alexandre Bouet";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0"
"CN Marseille";"7";"1293";"Marc Larumbe";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"CN Marseille";"6";"1304";"Thomas Vernoux";"3";"5";"0";"1";"0";"0";"3";"4";"0";"0";"0";"0";"0";"8";"1";"0";"0";"0";"2";"1";"0"
"CN Marseille";"12";"1358";"Alessandro Velotto";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"CN Marseille";"4";"11475";"Andrea De Nardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Marseille";"3";"1307";"Ugo Crousillat";"4";"5";"1";"1";"0";"0";"3";"3";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"CN Marseille";"2";"1341";"Daniel Angyal";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"CN Marseille";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16"
"CN Marseille";"5";"379";"Andrija Prlainovic";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0"
"CN Marseille";"13";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vasas Plaket";"1";"371";"Marton Levai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vasas Plaket";"2";"13739";"Soma Lakatos";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0"
"Vasas Plaket";"3";"190";"Nikola Dedovic";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Vasas Plaket";"4";"381";"Sava Randjelovic";"1";"7";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"2";"0";"1";"0"
"Vasas Plaket";"5";"17500";"Lorinc Gabor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vasas Plaket";"6";"17841";"Domokos Selley Rauscher";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Vasas Plaket";"7";"17501";"Dome Dala";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0"
"Vasas Plaket";"8";"1373";"Bogdan Djurdjic";"5";"7";"3";"4";"0";"0";"1";"2";"0";"0";"1";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Vasas Plaket";"9";"18156";"Dominik Tasi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Vasas Plaket";"10";"428";"Bence Batori";"1";"5";"0";"1";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0"
"Vasas Plaket";"11";"17560";"Roland Gaszt";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Vasas Plaket";"12";"4831";"Benedek Batizi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"2";"0";"0";"0"
"Vasas Plaket";"13";"17503";"Marton Mizsei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
