"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"CSM Oradea";"1";"6835";"Daniel Turculet";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSM Oradea";"2";"16647";"David Belenyesi";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"CSM Oradea";"3";"1394";"Tiberiu Negrean";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"2";"2";"0";"0"
"CSM Oradea";"4";"1395";"Mihnea Andrei Gheorghe";"2";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"2";"0"
"CSM Oradea";"5";"13852";"Adrian Pascaluta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSM Oradea";"6";"120";"Flavius Nichita Ilisie";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"3";"0";"1";"2";"0"
"CSM Oradea";"7";"1017";"Ivan Gusarov";"2";"5";"2";"2";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"CSM Oradea";"8";"112";"Filip Gardasevic";"6";"11";"2";"5";"0";"1";"3";"4";"1";"1";"0";"0";"2";"1";"0";"0";"0";"0";"2";"0";"0"
"CSM Oradea";"9";"22763";"Manuel Klutsch";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"CSM Oradea";"10";"1403";"Levente Vancsik";"4";"5";"0";"1";"0";"0";"4";"4";"0";"0";"0";"0";"0";"6";"1";"0";"0";"1";"0";"2";"0"
"CSM Oradea";"11";"113";"Ferenc Istvan Czenk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0"
"CSM Oradea";"12";"719";"Petar Velkic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"CSM Oradea";"13";"125";"Raul Ionut Gavris";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"11"
"CSA Steaua";"1";"777";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"CSA Steaua";"2";"18154";"Nebojsa Vuskovic";"2";"8";"2";"6";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"2";"1";"0";"0"
"CSA Steaua";"3";"1398";"Vlad Georgescu";"3";"9";"3";"7";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"CSA Steaua";"4";"1399";"Tudor Fulea";"3";"4";"1";"2";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0"
"CSA Steaua";"5";"2070";"David Bota";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"1";"1";"0"
"CSA Steaua";"7";"17468";"Ivan Zivkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0"
"CSA Steaua";"8";"12431";"Raducu Dinca";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0"
"CSA Steaua";"9";"126";"Silvian Colodrovschi";"3";"5";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"1";"7";"2";"0";"0";"0";"2";"0";"0"
"CSA Steaua";"10";"1401";"Nicolae Oanta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CSA Steaua";"11";"779";"Francesco Iudean";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"CSA Steaua";"12";"13709";"Andrei Tepelus";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"CSA Steaua";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSA Steaua";"14";"12434";"Andrei Neamtu";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
