"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"CN Marseille";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"CN Marseille";"2";"1341";"Daniel Angyal";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"CN Marseille";"3";"1307";"Ugo Crousillat";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"1";"1";"0";"1";"1";"1";"0"
"CN Marseille";"4";"11475";"Andrea De Nardi";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"CN Marseille";"5";"379";"Andrija Prlainovic";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"4";"0";"4";"1";"0";"0";"1";"0";"0"
"CN Marseille";"6";"1304";"Thomas Vernoux";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0"
"CN Marseille";"7";"1293";"Marc Larumbe";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"CN Marseille";"8";"2380";"Alexandre Bouet";"3";"7";"0";"3";"0";"0";"3";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"CN Marseille";"9";"1303";"Romain Marion-Vernoux";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0"
"CN Marseille";"10";"1362";"Michael Bodegas";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"1";"2";"0"
"CN Marseille";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Marseille";"12";"1358";"Alessandro Velotto";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0"
"CN Marseille";"13";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"7"
"Zodiac CNAB";"2";"410";"Martin Famera";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"1";"0";"0"
"Zodiac CNAB";"3";"1290";"Alvaro Granados";"4";"8";"0";"3";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0"
"Zodiac CNAB";"4";"13705";"Biel Gomila";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Zodiac CNAB";"5";"1291";"Bernat Sanahuja";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0"
"Zodiac CNAB";"6";"4837";"Vince Vigvari";"1";"3";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"1";"0";"0"
"Zodiac CNAB";"7";"582";"Marc Valls Ferrer";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"8";"374";"Gergely Burian";"2";"6";"1";"2";"0";"0";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Zodiac CNAB";"9";"1296";"Roger Tahull";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"3";"1";"0"
"Zodiac CNAB";"10";"1297";"Felipe Perrone";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"2";"0";"0"
"Zodiac CNAB";"11";"420";"Unai Biel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Zodiac CNAB";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"1";"0";"2";"0"
"Zodiac CNAB";"13";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
