"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Radnicki Kragujevac";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Radnicki Kragujevac";"2";"733";"Strahinja Rasovic";"3";"6";"1";"4";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"Radnicki Kragujevac";"3";"700";"Nemanja Stanojevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0"
"Radnicki Kragujevac";"4";"693";"Filip Jankovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Radnicki Kragujevac";"5";"14355";"Lazar Antic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Radnicki Kragujevac";"6";"4783";"Bogdan Gavrilovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"3";"0";"2";"0"
"Radnicki Kragujevac";"7";"1483";"Valiko Dadvani";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"2";"3";"0"
"Radnicki Kragujevac";"8";"464";"Nikola Jaksic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"1";"0";"0";"0"
"Radnicki Kragujevac";"9";"715";"Dusan Vasic";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"1";"0";"2";"0";"0"
"Radnicki Kragujevac";"10";"1051";"Lazar Vickovic";"1";"4";"0";"0";"0";"1";"0";"1";"1";"1";"0";"1";"1";"0";"3";"0";"0";"0";"2";"0";"0"
"Radnicki Kragujevac";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0"
"Radnicki Kragujevac";"12";"1038";"Nikola Murisic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"2";"0";"0"
"Radnicki Kragujevac";"13";"695";"Stefan Todorovski";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"Dinamo Tbilisi";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"5"
"Dinamo Tbilisi";"2";"14358";"Maksim Malyshau";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinamo Tbilisi";"3";"2369";"Besarion Akhvlediani";"1";"5";"0";"3";"0";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"3";"1";"0"
"Dinamo Tbilisi";"4";"947";"Artsiom Dzikhtsiarenka";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Dinamo Tbilisi";"5";"2455";"Saba Tkeshelashvili";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Dinamo Tbilisi";"6";"1260";"Boris Vapenski";"2";"5";"1";"2";"0";"2";"1";"1";"0";"0";"0";"0";"2";"2";"3";"1";"0";"2";"0";"0";"0"
"Dinamo Tbilisi";"7";"12213";"Sandro Adeishvili";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"2";"0";"0";"0"
"Dinamo Tbilisi";"8";"1019";"Veljko Tankosic";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"2";"0";"0"
"Dinamo Tbilisi";"9";"1252";"Revaz Imnaishvili";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0"
"Dinamo Tbilisi";"11";"13766";"Luka Chikovani";"1";"4";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Dinamo Tbilisi";"12";"1377";"Stefan Pjesivac";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"1";"1";"0";"0";"0";"3";"0"
"Dinamo Tbilisi";"13";"2372";"Giorgi Gvetadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
