"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"CSM Oradea";"1";"692";"Lazar Dobozanov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"CSM Oradea";"13";"125";"Raul Ionut Gavris";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CSM Oradea";"2";"16647";"David Belenyesi";"3";"4";"0";"1";"0";"0";"2";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"3";"1";"0";"0"
"CSM Oradea";"4";"1395";"Mihnea Andrei Gheorghe";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CSM Oradea";"3";"1394";"Tiberiu Negrean";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"CSM Oradea";"6";"120";"Flavius Nichita Ilisie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"1";"2";"1";"0"
"CSM Oradea";"7";"1017";"Ivan Gusarov";"4";"6";"2";"4";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"CSM Oradea";"8";"106";"Martin Gardasevic";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"5";"1";"0";"0";"0";"1";"0";"0";"0"
"CSM Oradea";"9";"22763";"Manuel Klutsch";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"CSM Oradea";"10";"1403";"Levente Vancsik";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"4";"2";"0"
"CSM Oradea";"11";"113";"Ferenc Istvan Czenk";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"1";"535";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Rari Nantes Savona";"13";"6031";"Nicolo Da Rold";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rari Nantes Savona";"3";"531";"Luca Damonte";"4";"7";"3";"6";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0"
"Rari Nantes Savona";"5";"6038";"Davide Occhione";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"6";"18190";"Valerio Rizzo";"3";"3";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0"
"Rari Nantes Savona";"7";"1411";"Daniil Merkulov";"3";"6";"1";"4";"1";"1";"1";"1";"0";"0";"0";"0";"2";"0";"3";"0";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"8";"532";"Lorenzo Bruni";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"4";"0";"0";"0";"1";"0";"1";"0"
"Rari Nantes Savona";"10";"18187";"Mario Guidi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"11";"6041";"Andrea Patchaliev";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"CSM Oradea";"5";"2006";"Tomasso Insinna";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CSM Oradea";"12";"719";"Petar Velkic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"1";"0";"1";"0"
"Rari Nantes Savona";"2";"18186";"Niccolo Rocchi";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Rari Nantes Savona";"4";"2389";"Marko Vavic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Rari Nantes Savona";"9";"13755";"Alessandro Gullotta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Rari Nantes Savona";"12";"1348";"Balazs Erdelyi";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"2";"1";"0";"0"
