"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"FTC-Telekom";"1";"14197";"Daniel Szakonyi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"FTC-Telekom";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"13"
"Zodiac CNAB";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Zodiac CNAB";"13";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"10";"1297";"Felipe Perrone";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"9";"1296";"Roger Tahull";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"1";"1";"0"
"Zodiac CNAB";"3";"1290";"Alvaro Granados";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Zodiac CNAB";"2";"410";"Martin Famera";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"2";"0";"0";"0"
"Zodiac CNAB";"5";"1291";"Bernat Sanahuja";"3";"6";"2";"4";"0";"0";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0"
"Zodiac CNAB";"6";"4837";"Vince Vigvari";"2";"7";"1";"4";"0";"1";"1";"2";"0";"0";"0";"0";"2";"4";"1";"1";"0";"0";"3";"0";"0"
"Zodiac CNAB";"7";"582";"Marc Valls Ferrer";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Zodiac CNAB";"8";"374";"Gergely Burian";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Zodiac CNAB";"11";"420";"Unai Biel";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Zodiac CNAB";"12";"1299";"Alejandro Bustos";"1";"3";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"5";"1";"0";"0";"1";"1";"1";"0"
"FTC-Telekom";"5";"1344";"Marton Vamos";"2";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"2";"1";"1";"1";"0";"0";"1";"0";"0"
"FTC-Telekom";"2";"496";"Dusan Mandic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"0";"1";"1";"0";"0"
"FTC-Telekom";"3";"1342";"Krisztian Manhercz";"1";"4";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0"
"FTC-Telekom";"4";"817";"Adam Nagy";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"FTC-Telekom";"6";"493";"Edoardo Di Somma";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"FTC-Telekom";"8";"1334";"Stylianos Argyropoulos";"2";"5";"1";"3";"0";"0";"1";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"1";"0"
"FTC-Telekom";"10";"2368";"Vendel Vigvari";"3";"3";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"FTC-Telekom";"11";"1347";"Szilard Jansik";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"FTC-Telekom";"12";"1292";"Miguel de Toro";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0"
"FTC-Telekom";"7";"2367";"Gergo Fekete";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"FTC-Telekom";"9";"450";"Toni Josef Nemet";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Zodiac CNAB";"4";"13705";"Biel Gomila";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
