"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Jadran Split";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8"
"Jadran Split";"2";"89";"Marino Cagalj";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Jadran Split";"11";"77";"Loren Fatovic";"0";"5";"0";"2";"0";"1";"0";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Jadran Split";"10";"96";"Dusan Banicevic";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"1";"1";"0"
"Jadran Split";"12";"62";"Antonio Duzevic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"0"
"Jadran Split";"5";"65";"Zvonimir Butic";"2";"6";"2";"3";"0";"0";"0";"3";"0";"0";"0";"0";"3";"1";"1";"2";"0";"1";"1";"0";"0"
"Jadran Split";"6";"64";"Duje Pejkovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0"
"Olympiacos Piraeus";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Olympiacos Piraeus";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"6";"861";"Konstantinos Gouvis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"Olympiacos Piraeus";"3";"4822";"Nikolaos Gkillas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"0";"0";"0"
"Olympiacos Piraeus";"11";"128";"Dimitrios Nikolaidis";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0"
"Olympiacos Piraeus";"12";"1332";"Alexandros Papanastasiou";"4";"8";"3";"6";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"3";"0";"1";"0";"0";"0"
"Olympiacos Piraeus";"5";"1331";"Ioannis Fountoulis";"1";"5";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Olympiacos Piraeus";"4";"1328";"Konstantinos Genidounias";"5";"8";"2";"4";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"3";"0";"1";"0";"0";"0"
"Olympiacos Piraeus";"2";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Jadran Split";"13";"67";"Martin Celar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jadran Split";"8";"61";"Ivan Domagoj Zovic";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"4";"2";"1";"0";"0"
"Jadran Split";"9";"15258";"Marcus Berehulak";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Jadran Split";"4";"2595";"Toni Radan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jadran Split";"3";"917";"Jerko Marinic Kragic";"2";"4";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"3";"1";"1";"0"
"Olympiacos Piraeus";"8";"483";"Andro Buslje";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Jadran Split";"7";"24";"Ferdinand Josip Buselic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"7";"1343";"Gergo Zalanki";"1";"3";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"2";"1";"1";"1";"0";"0";"1";"0";"0"
"Olympiacos Piraeus";"9";"11477";"Ioannis Alafragkis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Olympiacos Piraeus";"10";"11480";"Dimitris Dimou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
