"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"1";"1301";"Remi Garsau";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Georgia";"3";"1251";"Damir Crepulja";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"1";"0";"0"
"Georgia";"1";"1249";"Nikoloz Shubladze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"France";"4";"1304";"Thomas Vernoux";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"1";"5";"4";"0"
"France";"8";"1308";"Michal Izdinsky";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"2";"0"
"Georgia";"2";"1250";"Beka Kavtaradze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Georgia";"4";"1252";"Revaz Imnaishvili";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"France";"6";"1306";"Uros Kalinic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"France";"12";"1312";"Alexandre Camarasa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
"Georgia";"6";"1254";"Marko Jelaca";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"France";"10";"1310";"Charles Canonne";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"France";"7";"1307";"Ugo Crousillat";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"France";"5";"1305";"Enzo Khasz";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"13";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Georgia";"9";"1257";"Zurab Rurua";"0";"4";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"8";"1256";"Mikheil Bagaturia";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"12";"1260";"Boris Vapenski";"3";"7";"1";"2";"0";"0";"1";"4";"1";"1";"0";"0";"0";"3";"2";"0";"0";"1";"1";"0";"0"
"Georgia";"11";"1259";"Fabio Baraldi";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"3";"1303";"Romain Marion-Vernoux";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0"
