"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"1";"1314";"Moritz Schenkel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Croatia";"4";"71";"Luka Loncar";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0"
"Croatia";"6";"4";"Luka Bukic";"2";"4";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0"
"Germany";"12";"1325";"Dennis Eidner";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"2";"0"
"Germany";"3";"1316";"Timo Van der Bosch";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Germany";"2";"1315";"Ben Reibel";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"2";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0"
"Germany";"9";"1322";"Marko Stamm";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0"
"Germany";"8";"1321";"Lucas Gielen";"0";"4";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Croatia";"2";"74";"Marko Macan";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Germany";"5";"1420";"Hannes Schulz";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"2";"1";"0";"0"
"Germany";"4";"1317";"Julian Real";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"11"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"12";"88";"Javier Garcia Gadea";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"Croatia";"11";"73";"Hrvoje Benic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"9";"3";"Lovre Milos";"3";"6";"2";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0"
"Germany";"11";"1324";"Marin Restovic";"3";"5";"2";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"2";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"1";"2";"0";"1";"0";"2";"0";"1";"0"
"Croatia";"13";"2";"Ivan Marcelic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Croatia";"10";"1";"Josip Vrlic";"2";"4";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"0";"0";"0"
"Croatia";"8";"483";"Andro Buslje";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
"Germany";"10";"186";"Mateo Cuk";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0"
