"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"2";"1354";"Francesco Di Fulvio";"1";"4";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Italy";"3";"1355";"Stefano Luongo";"2";"7";"1";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"Italy";"4";"1356";"Pietro Figlioli";"2";"6";"1";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Italy";"6";"1358";"Alessandro Velotto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2";"0";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"9";"1361";"Niccolo Figari";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Italy";"10";"1362";"Michael Bodegas";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"4";"0";"1";"0";"1";"0";"1";"0"
"Italy";"11";"1363";"Matteo Aicardi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"6";"0";"3";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"2";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Greece";"4";"1330";"Marios Kapotsis";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0"
"Greece";"10";"1336";"Christodoulos Kolomvos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Greece";"9";"1335";"Konstantinos Mourikis";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0"
"Greece";"11";"1337";"Evgenios Gounas";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"0";"4";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Greece";"13";"1339";"Konstantinos Galanidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
