"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Malta";"1";"1423";"Nicholas-Kane Grixti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Spain";"1";"1288";"Daniel Lopez Pinedo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Spain";"5";"1292";"Miguel de Toro";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0"
"Spain";"7";"1294";"Adrian Delgado";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"13";"1435";"Alan Borg Cole";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"Malta";"6";"1428";"Matthew Zammit";"2";"7";"1";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"1";"0"
"Spain";"2";"1289";"Alberto Munarriz";"5";"8";"4";"7";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Malta";"2";"1424";"Jerome Gabarretta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Malta";"5";"1427";"Darren Zammit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Malta";"7";"1429";"Steven Camilleri";"3";"8";"2";"5";"0";"0";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"4";"1";"0"
"Malta";"12";"1434";"Dino Zammit";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"8";"1430";"Jordan Camilleri";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Malta";"4";"1426";"Gabriel Pace";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Malta";"11";"1433";"Ben Plumpton";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"9";"1431";"Jeremy Abela";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"3";"0";"2";"0";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"4";"6";"2";"4";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Spain";"11";"1298";"Blai Mallarach";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Spain";"12";"1299";"Alejandro Bustos";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0"
"Malta";"10";"1432";"Aurelien Cousin";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"1";"0";"0"
"Spain";"8";"1295";"Francisco Fernandez";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"2";"0"
"Malta";"3";"1425";"Andreas Galea";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"3";"4";"2";"2";"0";"0";"0";"1";"1";"1";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0"
