"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"2";"496";"Dusan Mandic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Serbia";"1";"121";"Gojko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"3";"190";"Nikola Dedovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"2";"0";"1";"0"
"Serbia";"5";"16";"Milos Cuk";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Serbia";"6";"1421";"Dusko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0"
"Serbia";"7";"1422";"Nemanja Vico";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Serbia";"8";"407";"Milan Aleksic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"10";"495";"Filip Filipovic";"2";"6";"0";"3";"0";"0";"1";"2";"1";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
"Serbia";"9";"464";"Nikola Jaksic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Serbia";"11";"379";"Andrija Prlainovic";"4";"5";"2";"3";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Serbia";"12";"180";"Stefan Mitrovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Russia";"1";"1405";"Petr Fedotov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"9"
"Russia";"2";"1406";"Ivan Suchkov";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Russia";"3";"1407";"Ivan Vasilev";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Russia";"5";"1409";"Artem Ashaev";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Russia";"4";"1408";"Nikita Dereviankin";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"2";"0"
"Russia";"6";"1410";"Konstantin Kharkov";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Russia";"7";"1411";"Daniil Merkulov";"3";"6";"2";"4";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"2";"0";"0"
"Russia";"8";"1412";"Ivan Nagaev";"2";"8";"0";"5";"0";"0";"2";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Russia";"9";"1413";"Igor Bychkov";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Russia";"10";"1414";"Konstantin Kiselev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Russia";"11";"1415";"Sergey Lisunov";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Russia";"12";"1416";"Roman Shepelev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0"
"Russia";"13";"1417";"Vitaly Statsenko";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
