"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"3";"1278";"Juraj Zatovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"2";"0";"0"
"Slovakia";"2";"1277";"Matej Caraj DON'T USE";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0"
"Slovakia";"1";"1276";"Tomas HOFERICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Slovakia";"4";"1279";"Adam Furman";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"1";"0"
"Slovakia";"5";"1280";"Adam Mitruk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"Slovakia";"8";"1283";"Marek Tkac";"1";"7";"1";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0"
"Slovakia";"7";"1282";"Maros Tkac";"1";"7";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Slovakia";"6";"1281";"Marek Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Slovakia";"10";"1285";"Andrej Kovacik";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Slovakia";"9";"1284";"Tomas Bielik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0"
"Slovakia";"11";"1286";"Martin Kolarik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Slovakia";"13";"1262";"Lukas Kozmer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Montenegro";"2";"1367";"Drasko Brguljan";"2";"4";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"2";"6";"0";"3";"0";"0";"1";"2";"1";"1";"0";"0";"2";"0";"1";"0";"1";"2";"1";"0";"0"
"Montenegro";"4";"1369";"Marko Petkovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"5";"1370";"Uros Cuckovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"Montenegro";"6";"1371";"Dimitrije Obradovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"9";"1374";"Aleksandar Ivovic";"4";"5";"2";"2";"0";"0";"0";"1";"1";"1";"1";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"11";"1376";"Dragan Draskovic";"3";"5";"2";"3";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Montenegro";"12";"1377";"Stefan Pjesivac";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
