"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Turkiye";"3";"1265";"Mehmet Yutmaz";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Turkiye";"2";"1264";"Selcuk Can Caner";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Turkiye";"1";"1263";"Atilla Sezer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"Turkiye";"4";"1266";"Fatih Acar";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0"
"Turkiye";"5";"1267";"Berk Biyik";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Turkiye";"6";"1268";"Emre Gurdenli";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Turkiye";"7";"1269";"Emirhan Yenigun";"2";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Turkiye";"8";"1270";"Oguz Berke Senemoglu";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Turkiye";"9";"1271";"Nadir Sonmez";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Turkiye";"10";"1272";"Nesfet Togkan Ozbek";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Turkiye";"11";"1273";"Ege Kahraman";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Turkiye";"12";"1274";"Gokmen Mehmet Dilek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Turkiye";"13";"1275";"Huseyin Kegan Kil";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Hungary";"1";"1340";"Viktor Nagy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Hungary";"2";"1341";"Daniel Angyal";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"4";"6";"0";"2";"0";"0";"0";"0";"1";"1";"3";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Hungary";"4";"1343";"Gergo Zalanki";"2";"3";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"2";"4";"0";"1";"0";"0";"2";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Hungary";"6";"1345";"Norbert Hosnyanszky";"2";"3";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"7";"1346";"Zoltan Pohl";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Hungary";"9";"1348";"Balazs Erdelyi";"3";"5";"0";"2";"0";"0";"2";"2";"1";"1";"0";"0";"2";"2";"0";"0";"1";"0";"1";"0";"0"
"Hungary";"8";"1347";"Szilard Jansik";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"11";"1350";"Tamas Mezei";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"2";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0"
"Hungary";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
