"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"1";"1314";"Moritz Schenkel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Germany";"4";"1317";"Julian Real";"3";"6";"2";"4";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"2";"1";"0"
"Slovakia";"2";"1277";"Matej Caraj DON'T USE";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"2";"1";"0"
"Slovakia";"3";"1278";"Juraj Zatovic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"3";"0";"0"
"Slovakia";"6";"1281";"Marek Molnar";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Slovakia";"7";"1282";"Maros Tkac";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0"
"Slovakia";"8";"1283";"Marek Tkac";"1";"6";"1";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0"
"Slovakia";"9";"1284";"Tomas Bielik";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0"
"Slovakia";"4";"1279";"Adam Furman";"1";"4";"0";"2";"0";"0";"1";"1";"0";"1";"0";"0";"0";"3";"1";"0";"0";"0";"3";"0";"0"
"Slovakia";"5";"1280";"Adam Mitruk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"0"
"Germany";"12";"1325";"Dennis Eidner";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0"
"Germany";"2";"1315";"Ben Reibel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0";"0"
"Slovakia";"1";"1276";"Tomas HOFERICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"12"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Germany";"5";"1420";"Hannes Schulz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"Germany";"9";"1322";"Marko Stamm";"1";"4";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Germany";"8";"1321";"Lucas Gielen";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Germany";"3";"1316";"Timo Van der Bosch";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0"
"Slovakia";"13";"1262";"Lukas Kozmer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"11";"1324";"Marin Restovic";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"2";"1";"0"
"Slovakia";"10";"1285";"Andrej Kovacik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"1";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Slovakia";"11";"1286";"Martin Kolarik";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Germany";"10";"186";"Mateo Cuk";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
