"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"2";"1328";"Konstantinos Genidounias";"3";"5";"1";"3";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"3";"0";"0";"0"
"Greece";"4";"1330";"Marios Kapotsis";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"4";"4";"3";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"2";"4";"1";"2";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"9";"1335";"Konstantinos Mourikis";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0"
"Greece";"10";"1336";"Christodoulos Kolomvos";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Greece";"11";"1337";"Evgenios Gounas";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"13";"1339";"Konstantinos Galanidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Georgia";"1";"1249";"Nikoloz Shubladze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Georgia";"2";"1250";"Beka Kavtaradze";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Georgia";"3";"1251";"Damir Crepulja";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
"Georgia";"4";"1252";"Revaz Imnaishvili";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
"Georgia";"6";"1254";"Marko Jelaca";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0"
"Georgia";"8";"1256";"Mikheil Bagaturia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"9";"1257";"Zurab Rurua";"2";"4";"0";"0";"0";"0";"1";"3";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Georgia";"11";"1259";"Fabio Baraldi";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"12";"1260";"Boris Vapenski";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Georgia";"13";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
