"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"2";"1315";"Ben Reibel";"1";"5";"0";"2";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"2";"1";"3";"1";"1";"1";"0"
"Germany";"1";"1314";"Moritz Schenkel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"Germany";"3";"1316";"Timo Van der Bosch";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
"Germany";"4";"1317";"Julian Real";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Germany";"5";"1420";"Hannes Schulz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"0";"5";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0"
"Germany";"8";"1321";"Lucas Gielen";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Germany";"9";"1322";"Marko Stamm";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0"
"Germany";"11";"1324";"Marin Restovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0"
"Germany";"12";"1325";"Dennis Eidner";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"2";"1";"0"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Montenegro";"2";"1367";"Drasko Brguljan";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0"
"Montenegro";"4";"1369";"Marko Petkovic";"1";"5";"0";"2";"0";"0";"1";"2";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"2";"3";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0";"0";"0";"0"
"Montenegro";"5";"1370";"Uros Cuckovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"1";"0";"0"
"Montenegro";"6";"1371";"Dimitrije Obradovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"0";"0"
"Montenegro";"9";"1374";"Aleksandar Ivovic";"2";"6";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"3";"0"
"Montenegro";"11";"1376";"Dragan Draskovic";"2";"4";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"1";"1";"0"
"Montenegro";"12";"1377";"Stefan Pjesivac";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"2";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"10";"186";"Mateo Cuk";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"4";"0";"0"
