"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Romania";"8";"1399";"Tudor Fulea";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0"
"Russia";"5";"1409";"Artem Ashaev";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Romania";"2";"1393";"Cosmin Radu";"2";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
"Russia";"4";"1408";"Nikita Dereviankin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"1";"0"
"Russia";"6";"1410";"Konstantin Kharkov";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Romania";"10";"1401";"Nicolae Oanta";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Russia";"8";"1412";"Ivan Nagaev";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"7";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0"
"Russia";"10";"1414";"Konstantin Kiselev";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Russia";"9";"1413";"Igor Bychkov";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Russia";"11";"1415";"Sergey Lisunov";"3";"4";"1";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0"
"Russia";"13";"1417";"Vitaly Statsenko";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"3";"1394";"Tiberiu Negrean";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"1";"0";"0"
"Romania";"7";"1398";"Vlad Georgescu";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Russia";"12";"1416";"Roman Shepelev";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"2";"2";"0";"0";"0"
"Romania";"4";"1395";"Mihnea Andrei Gheorghe";"4";"6";"2";"4";"0";"0";"2";"2";"0";"0";"0";"0";"1";"1";"1";"0";"0";"2";"1";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"9";"1400";"Robert Gergelyfi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Russia";"1";"1405";"Petr Fedotov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Russia";"2";"1406";"Ivan Suchkov";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"11";"1402";"Alexandru Ghiban";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Romania";"13";"1404";"Serban Abrudan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Russia";"3";"1407";"Ivan Vasilev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Russia";"7";"1411";"Daniil Merkulov";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0"
"Romania";"12";"1403";"Levente Vancsik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"0";"0"
