"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"5";"16";"Milos Cuk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Serbia";"12";"180";"Stefan Mitrovic";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0"
"Serbia";"8";"407";"Milan Aleksic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"6";"1421";"Dusko Pijetlovic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Serbia";"1";"121";"Gojko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Serbia";"11";"379";"Andrija Prlainovic";"2";"6";"0";"2";"0";"0";"0";"2";"0";"0";"2";"2";"0";"2";"0";"1";"1";"1";"2";"0";"0"
"Serbia";"7";"1422";"Nemanja Vico";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Serbia";"10";"495";"Filip Filipovic";"2";"7";"1";"6";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Serbia";"3";"190";"Nikola Dedovic";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Serbia";"9";"464";"Nikola Jaksic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0"
"Netherlands";"1";"1379";"Eelco Wagenaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"Serbia";"2";"496";"Dusan Mandic";"3";"5";"1";"3";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"3";"0";"0"
"Netherlands";"2";"1380";"Kjeld Veenhuis";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Netherlands";"3";"1381";"Jorn Winkelhorst";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"3";"0"
"Netherlands";"4";"1382";"Sam van den Burg";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0"
"Netherlands";"6";"1384";"Robin Lindhout";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Netherlands";"9";"1387";"Harmen Muller";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"7";"1385";"Lars Gottemaker";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"10";"1388";"Pascal Janssen";"1";"4";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"2";"2";"0";"0"
"Netherlands";"12";"1390";"Thomas Lucas";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"3";"1";"3";"0"
"Netherlands";"13";"1391";"Ted NO Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0"
