"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"6";"1281";"Marek Molnar";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Slovakia";"4";"1279";"Adam Furman";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"5";"1280";"Adam Mitruk";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"1";"3";"0";"0"
"Slovakia";"7";"1282";"Maros Tkac";"1";"5";"0";"3";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"3";"0";"0"
"Slovakia";"9";"1284";"Tomas Bielik";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0"
"Slovakia";"3";"1278";"Juraj Zatovic";"1";"5";"1";"2";"0";"2";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Slovakia";"1";"1276";"Tomas HOFERICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"Slovakia";"2";"1277";"Matej Caraj DON'T USE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"8";"1283";"Marek Tkac";"1";"4";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"4";"0";"0"
"Slovakia";"10";"1285";"Andrej Kovacik";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Slovakia";"13";"1262";"Lukas Kozmer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"11";"1286";"Martin Kolarik";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"2";"74";"Marko Macan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"1";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"3"
"Croatia";"3";"77";"Loren Fatovic";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"Croatia";"8";"483";"Andro Buslje";"5";"5";"4";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"2";"0";"1";"0";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"2";"7";"1";"5";"0";"0";"0";"1";"1";"1";"0";"0";"4";"0";"0";"1";"0";"0";"2";"0";"0"
"Croatia";"11";"73";"Hrvoje Benic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"3";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"0"
"Croatia";"9";"3";"Lovre Milos";"3";"3";"1";"1";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0";"1";"0";"2";"1";"1";"0";"0"
"Croatia";"13";"2";"Ivan Marcelic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Croatia";"12";"88";"Javier Garcia Gadea";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"4";"0";"2";"1";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"3";"3";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
