"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Turkiye";"1";"1263";"Atilla Sezer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Spain";"8";"1295";"Francisco Fernandez";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"7";"1294";"Adrian Delgado";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"4";"4";"3";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Spain";"11";"1298";"Blai Mallarach";"3";"3";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Turkiye";"13";"1275";"Huseyin Kegan Kil";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"Turkiye";"12";"1274";"Gokmen Mehmet Dilek";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"1";"1288";"Daniel Lopez Pinedo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Spain";"2";"1289";"Alberto Munarriz";"4";"8";"2";"6";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0"
"Spain";"3";"1290";"Alvaro Granados";"4";"9";"1";"3";"0";"0";"0";"2";"2";"3";"1";"1";"0";"1";"1";"0";"4";"1";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"2";"4";"1";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Turkiye";"10";"1272";"Nesfet Togkan Ozbek";"1";"4";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Turkiye";"9";"1271";"Nadir Sonmez";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Turkiye";"2";"1264";"Selcuk Can Caner";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Turkiye";"11";"1273";"Ege Kahraman";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"4";"5";"3";"3";"0";"0";"0";"0";"0";"0";"1";"2";"3";"1";"1";"0";"0";"1";"0";"0";"0"
"Turkiye";"5";"1267";"Berk Biyik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
"Turkiye";"6";"1268";"Emre Gurdenli";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Turkiye";"8";"1270";"Oguz Berke Senemoglu";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Turkiye";"4";"1266";"Fatih Acar";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
"Turkiye";"3";"1265";"Mehmet Yutmaz";"3";"5";"1";"2";"0";"0";"2";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0"
"Turkiye";"7";"1269";"Emirhan Yenigun";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
