"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Montenegro";"3";"1368";"Djuro Radovic";"2";"4";"0";"2";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Montenegro";"2";"1367";"Drasko Brguljan";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"1";"0";"0";"0"
"Montenegro";"6";"1371";"Dimitrije Obradovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0"
"Montenegro";"5";"1370";"Uros Cuckovic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"4";"1369";"Marko Petkovic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"2";"4";"0";"1";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1";"2";"1";"0";"1";"0"
"Montenegro";"9";"1374";"Aleksandar Ivovic";"3";"7";"1";"3";"1";"2";"0";"0";"0";"0";"1";"2";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"11";"1376";"Dragan Draskovic";"2";"6";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"12";"1377";"Stefan Pjesivac";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"0";"1";"0";"1";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"6"
"Turkiye";"1";"1263";"Atilla Sezer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Turkiye";"2";"1264";"Selcuk Can Caner";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"2";"0";"0"
"Turkiye";"3";"1265";"Mehmet Yutmaz";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Turkiye";"4";"1266";"Fatih Acar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"2";"0";"0"
"Turkiye";"5";"1267";"Berk Biyik";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0"
"Turkiye";"6";"1268";"Emre Gurdenli";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"2";"0";"0"
"Turkiye";"7";"1269";"Emirhan Yenigun";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"0";"0";"0"
"Turkiye";"8";"1270";"Oguz Berke Senemoglu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"Turkiye";"9";"1271";"Nadir Sonmez";"1";"4";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"4";"0";"0"
"Turkiye";"10";"1272";"Nesfet Togkan Ozbek";"2";"8";"2";"4";"0";"2";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0"
"Turkiye";"11";"1273";"Ege Kahraman";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Turkiye";"12";"1274";"Gokmen Mehmet Dilek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Turkiye";"13";"1275";"Huseyin Kegan Kil";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
