"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Romania";"2";"1393";"Cosmin Radu";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"8";"0";"0";"0";"0";"1";"1";"0"
"Romania";"3";"1394";"Tiberiu Negrean";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"0";"3";"4";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"4";"1395";"Mihnea Andrei Gheorghe";"1";"6";"0";"2";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0"
"Romania";"7";"1398";"Vlad Georgescu";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0"
"Romania";"9";"1400";"Robert Gergelyfi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Romania";"8";"1399";"Tudor Fulea";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"1";"0";"0"
"Romania";"11";"1402";"Alexandru Ghiban";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"10";"1401";"Nicolae Oanta";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"3";"0";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
"Romania";"13";"1404";"Serban Abrudan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Greece";"2";"1328";"Konstantinos Genidounias";"6";"7";"4";"5";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Greece";"4";"1330";"Marios Kapotsis";"2";"3";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"2";"3";"0";"1";"0";"0";"0";"0";"0";"0";"2";"2";"0";"1";"1";"0";"1";"0";"0";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"0";"6";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"1";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Greece";"9";"1335";"Konstantinos Mourikis";"1";"4";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Greece";"10";"1336";"Christodoulos Kolomvos";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"1";"0";"0";"0"
"Greece";"11";"1337";"Evgenios Gounas";"2";"7";"1";"2";"0";"0";"1";"5";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"2";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"0";"4";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"2";"0";"0";"0"
"Greece";"13";"1339";"Konstantinos Galanidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
