"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Russia";"2";"1406";"Ivan Suchkov";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Russia";"1";"1405";"Petr Fedotov";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"9"
"Russia";"10";"1414";"Konstantin Kiselev";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Russia";"11";"1415";"Sergey Lisunov";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"6";"0";"0";"0";"2";"0";"1";"0"
"Russia";"13";"1417";"Vitaly Statsenko";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Russia";"12";"1416";"Roman Shepelev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"3";"1";"0";"0";"0"
"Georgia";"3";"1251";"Damir Crepulja";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0"
"Georgia";"4";"1252";"Revaz Imnaishvili";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0"
"Georgia";"6";"1254";"Marko Jelaca";"3";"5";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Georgia";"2";"1250";"Beka Kavtaradze";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Georgia";"1";"1249";"Nikoloz Shubladze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Georgia";"5";"1253";"Andria Bitadze";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0"
"Russia";"6";"1410";"Konstantin Kharkov";"4";"5";"2";"3";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0"
"Russia";"3";"1407";"Ivan Vasilev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Russia";"9";"1413";"Igor Bychkov";"5";"8";"2";"4";"0";"0";"3";"4";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"Russia";"5";"1409";"Artem Ashaev";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Russia";"8";"1412";"Ivan Nagaev";"1";"4";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"1";"2";"0";"0"
"Georgia";"9";"1257";"Zurab Rurua";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Russia";"7";"1411";"Daniil Merkulov";"1";"6";"0";"4";"0";"0";"1";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0"
"Russia";"4";"1408";"Nikita Dereviankin";"1";"4";"0";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"5";"0";"0";"0";"2";"0";"0";"0"
"Georgia";"8";"1256";"Mikheil Bagaturia";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"1";"0";"3";"0";"0";"0"
"Georgia";"13";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"4";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"11";"1259";"Fabio Baraldi";"3";"3";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"12";"1260";"Boris Vapenski";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"4";"1";"1";"0";"0";"1";"0";"0";"0"
