"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"1";"1276";"Tomas HOFERICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"14"
"Slovakia";"2";"1277";"Matej Caraj DON'T USE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Slovakia";"3";"1278";"Juraj Zatovic";"4";"5";"3";"4";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
"Slovakia";"4";"1279";"Adam Furman";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Slovakia";"5";"1280";"Adam Mitruk";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Slovakia";"7";"1283";"Marek Tkac";"1";"7";"1";"4";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Slovakia";"6";"1281";"Marek Molnar";"1";"7";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"1";"0"
"Slovakia";"9";"1284";"Tomas Bielik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
"Slovakia";"11";"1286";"Martin Kolarik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"1";"0"
"Slovakia";"10";"1285";"Andrej Kovacik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"13";"1262";"Lukas Kozmer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"2";"1424";"Jerome Gabarretta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0"
"Malta";"1";"1423";"Nicholas-Kane Grixti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"8"
"Malta";"3";"1425";"Andreas Galea";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Malta";"4";"1426";"Gabriel Pace";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Malta";"6";"1428";"Matthew Zammit";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"1";"0";"2";"1";"2";"0"
"Malta";"7";"1429";"Steven Camilleri";"4";"9";"1";"3";"1";"3";"1";"2";"1";"1";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0"
"Malta";"5";"1427";"Darren Zammit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"8";"1430";"Jordan Camilleri";"0";"4";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Malta";"9";"1431";"Jeremy Abela";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
"Malta";"10";"1432";"Aurelien Cousin";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0"
"Malta";"11";"1433";"Ben Plumpton";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Malta";"12";"1434";"Dino Zammit";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Malta";"13";"1435";"Alan Borg Cole";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
