"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Croatia";"2";"74";"Marko Macan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"2";"1";"0"
"Croatia";"3";"77";"Loren Fatovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"4";"6";"1";"3";"0";"0";"1";"1";"2";"2";"0";"0";"2";"1";"0";"0";"0";"1";"2";"0";"0"
"Greece";"13";"1339";"Konstantinos Galanidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Greece";"10";"1336";"Christodoulos Kolomvos";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1";"0";"1";"0";"0";"0"
"Greece";"11";"1337";"Evgenios Gounas";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Croatia";"6";"4";"Luka Bukic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"1";"5";"1";"3";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"8";"483";"Andro Buslje";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0"
"Croatia";"11";"73";"Hrvoje Benic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0"
"Croatia";"13";"2";"Ivan Marcelic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"2";"1328";"Konstantinos Genidounias";"2";"7";"1";"5";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"2";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"2";"2";"0"
"Croatia";"12";"88";"Javier Garcia Gadea";"3";"5";"1";"3";"0";"0";"2";"2";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"1";"0";"0"
"Greece";"9";"1335";"Konstantinos Mourikis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"1";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"3";"6";"1";"2";"0";"1";"2";"3";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"2";"0";"0"
"Greece";"4";"1330";"Marios Kapotsis";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"9";"3";"Lovre Milos";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"1";"2";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
