"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"4";"1317";"Julian Real";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Germany";"1";"1314";"Moritz Schenkel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5"
"Germany";"5";"1420";"Hannes Schulz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"4";"6";"2";"4";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Germany";"8";"1321";"Lucas Gielen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
"Germany";"9";"1322";"Marko Stamm";"4";"7";"2";"5";"0";"0";"2";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"2";"1315";"Ben Reibel";"3";"5";"2";"4";"0";"0";"0";"0";"0";"0";"1";"1";"1";"2";"1";"0";"2";"1";"1";"0";"0"
"Germany";"3";"1316";"Timo Van der Bosch";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Germany";"12";"1325";"Dennis Eidner";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Germany";"11";"1324";"Marin Restovic";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"2";"0";"0";"1";"1";"1";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Romania";"4";"1395";"Mihnea Andrei Gheorghe";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0"
"Romania";"3";"1394";"Tiberiu Negrean";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0"
"Romania";"9";"1400";"Robert Gergelyfi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"11";"1402";"Alexandru Ghiban";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"4";"0";"0"
"Romania";"10";"1401";"Nicolae Oanta";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
"Romania";"8";"1399";"Tudor Fulea";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0"
"Romania";"2";"1393";"Cosmin Radu";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"3";"1";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"7";"1398";"Vlad Georgescu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Romania";"13";"1404";"Serban Abrudan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"10";"186";"Mateo Cuk";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
