"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Italy";"3";"1355";"Stefano Luongo";"1";"4";"0";"1";"0";"0";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0"
"Italy";"6";"1358";"Alessandro Velotto";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"4";"1356";"Pietro Figlioli";"1";"7";"0";"2";"1";"1";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"0";"0"
"Italy";"9";"1361";"Niccolo Figari";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"2";"1354";"Francesco Di Fulvio";"0";"7";"0";"2";"0";"2";"0";"3";"0";"0";"0";"0";"1";"6";"1";"1";"2";"1";"1";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"1";"4";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"2";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Italy";"11";"1363";"Matteo Aicardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"1";"0";"0";"1";"1";"1";"0"
"Italy";"10";"1362";"Michael Bodegas";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"2";"0"
"Montenegro";"11";"1376";"Dragan Draskovic";"2";"4";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"12";"1377";"Stefan Pjesivac";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"2";"1";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"9";"1374";"Aleksandar Ivovic";"1";"3";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"1";"4";"0";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0";"2";"0"
"Montenegro";"5";"1370";"Uros Cuckovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"1";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"Montenegro";"7";"1372";"Stefan Vidovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"2";"1367";"Drasko Brguljan";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"2";"1";"0";"1";"0";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Montenegro";"4";"1369";"Marko Petkovic";"4";"5";"0";"1";"0";"0";"4";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
"Montenegro";"6";"1371";"Dimitrije Obradovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
