"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Turkiye";"1";"1263";"Atilla Sezer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Turkiye";"2";"1264";"Selcuk Can Caner";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Turkiye";"3";"1265";"Mehmet Yutmaz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0"
"Turkiye";"5";"1267";"Berk Biyik";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0"
"Turkiye";"4";"1266";"Fatih Acar";"2";"4";"0";"1";"0";"0";"1";"2";"0";"0";"1";"1";"1";"1";"1";"0";"0";"2";"2";"0";"0"
"Turkiye";"6";"1268";"Emre Gurdenli";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Turkiye";"8";"1270";"Oguz Berke Senemoglu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Turkiye";"7";"1269";"Emirhan Yenigun";"2";"4";"0";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Turkiye";"9";"1271";"Nadir Sonmez";"0";"4";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"0";"0";"0"
"Turkiye";"10";"1272";"Nesfet Togkan Ozbek";"0";"5";"0";"2";"0";"1";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0"
"Turkiye";"12";"1274";"Gokmen Mehmet Dilek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Turkiye";"11";"1273";"Ege Kahraman";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0"
"Turkiye";"13";"1275";"Huseyin Kegan Kil";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Georgia";"2";"1250";"Beka Kavtaradze";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Georgia";"1";"1249";"Nikoloz Shubladze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"3";"1251";"Damir Crepulja";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"2";"1";"1";"0";"2";"0";"0";"0"
"Georgia";"4";"1252";"Revaz Imnaishvili";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"4";"0";"1";"0";"1";"1";"1";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"3";"5";"2";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"2";"1";"0";"0"
"Georgia";"6";"1254";"Marko Jelaca";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"2";"4";"0";"1";"0";"0";"2";"3";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"1";"0"
"Georgia";"8";"1256";"Mikheil Bagaturia";"3";"7";"0";"4";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0"
"Georgia";"9";"1257";"Zurab Rurua";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"2";"0"
"Georgia";"11";"1259";"Fabio Baraldi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"4";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"3";"0";"0";"0"
"Georgia";"12";"1260";"Boris Vapenski";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"13";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
