"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"1289";"Alberto Munarriz";"3";"7";"3";"6";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"2";"1";"0";"0"
"Spain";"1";"1288";"Daniel Lopez Pinedo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Spain";"3";"1290";"Alvaro Granados";"2";"6";"1";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Spain";"7";"1294";"Adrian Delgado";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0"
"Spain";"8";"1295";"Francisco Fernandez";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"1";"3";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Spain";"11";"1298";"Blai Mallarach";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"2";"1";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Croatia";"2";"74";"Marko Macan";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"2";"6";"0";"2";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"1";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"1";"5";"0";"4";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"2";"0";"0";"0"
"Croatia";"9";"3";"Lovre Milos";"1";"6";"1";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"1";"0";"0"
"Croatia";"8";"483";"Andro Buslje";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"1";"0";"0"
"Croatia";"11";"73";"Hrvoje Benic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"12";"88";"Javier Garcia Gadea";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0"
"Croatia";"13";"2";"Ivan Marcelic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
