"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"3";"1355";"Stefano Luongo";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"1";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Italy";"2";"1354";"Francesco Di Fulvio";"2";"5";"1";"3";"0";"0";"0";"0";"1";"1";"0";"1";"2";"1";"0";"0";"1";"1";"1";"2";"0"
"Italy";"4";"1356";"Pietro Figlioli";"2";"5";"1";"3";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"Italy";"6";"1358";"Alessandro Velotto";"2";"4";"0";"0";"0";"0";"1";"3";"0";"0";"1";"1";"3";"0";"0";"1";"0";"2";"1";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"2";"3";"2";"0";"0";"1";"0";"0";"0"
"Italy";"11";"1363";"Matteo Aicardi";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0"
"Italy";"9";"1361";"Niccolo Figari";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"3";"1";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Italy";"10";"1362";"Michael Bodegas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"2";"2";"1";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Russia";"1";"1405";"Petr Fedotov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Russia";"2";"1406";"Ivan Suchkov";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0"
"Russia";"4";"1408";"Nikita Dereviankin";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"3";"0"
"Russia";"3";"1407";"Ivan Vasilev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Russia";"5";"1409";"Artem Ashaev";"0";"3";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"Russia";"6";"1410";"Konstantin Kharkov";"3";"5";"2";"2";"0";"0";"0";"2";"0";"0";"1";"1";"0";"1";"2";"1";"0";"1";"0";"0";"0"
"Russia";"7";"1411";"Daniil Merkulov";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Russia";"10";"1414";"Konstantin Kiselev";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
"Russia";"9";"1413";"Igor Bychkov";"3";"6";"0";"3";"0";"0";"2";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"2";"3";"0";"0"
"Russia";"11";"1415";"Sergey Lisunov";"2";"5";"1";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"4";"0";"2";"0";"0";"2";"0";"0"
"Russia";"8";"1412";"Ivan Nagaev";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"1";"0";"0";"0"
"Russia";"13";"1417";"Vitaly Statsenko";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Russia";"12";"1416";"Roman Shepelev";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
