"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"10"
"Montenegro";"2";"1367";"Drasko Brguljan";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"3";"0";"0";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"3";"7";"2";"5";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Montenegro";"5";"1370";"Uros Cuckovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Montenegro";"4";"1369";"Marko Petkovic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Montenegro";"6";"1371";"Dimitrije Obradovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"3";"1";"0"
"Montenegro";"11";"1376";"Dragan Draskovic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"2";"0";"0"
"Montenegro";"9";"1374";"Aleksandar Ivovic";"0";"6";"0";"4";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"1";"0";"3";"3";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"12";"1377";"Stefan Pjesivac";"2";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"8";"1";"1";"0";"0";"0";"0";"0"
"Hungary";"1";"1340";"Viktor Nagy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"12"
"Hungary";"2";"1341";"Daniel Angyal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"4";"1343";"Gergo Zalanki";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"2";"0"
"Hungary";"6";"1345";"Norbert Hosnyanszky";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Hungary";"7";"1346";"Zoltan Pohl";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0"
"Hungary";"9";"1348";"Balazs Erdelyi";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Hungary";"8";"1347";"Szilard Jansik";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"4";"8";"1";"4";"1";"2";"1";"1";"1";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"Hungary";"11";"1350";"Tamas Mezei";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"2";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"2";"2";"1";"0"
"Hungary";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
