"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"2";"496";"Dusan Mandic";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0";"0";"0";"1";"0"
"Serbia";"1";"121";"Gojko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Serbia";"3";"190";"Nikola Dedovic";"3";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Serbia";"6";"1421";"Dusko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"5";"16";"Milos Cuk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"0";"0"
"Serbia";"7";"1422";"Nemanja Vico";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3";"0"
"Serbia";"8";"407";"Milan Aleksic";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
"Serbia";"10";"495";"Filip Filipovic";"2";"10";"2";"8";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"Serbia";"9";"464";"Nikola Jaksic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"1";"0"
"Serbia";"11";"379";"Andrija Prlainovic";"1";"3";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"2";"0";"1";"0"
"Serbia";"12";"180";"Stefan Mitrovic";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"1";"0";"1";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"1";"5";"0";"2";"0";"1";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"Greece";"4";"1330";"Marios Kapotsis";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"11";"1337";"Evgenios Gounas";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0"
"Greece";"13";"1339";"Konstantinos Galanidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Greece";"9";"1335";"Konstantinos Mourikis";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0"
"Greece";"10";"1336";"Christodoulos Kolomvos";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"7";"0";"1";"0";"1";"1";"1";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"3";"5";"2";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
