"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"1340";"Viktor Nagy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Hungary";"4";"1343";"Gergo Zalanki";"3";"5";"0";"1";"1";"1";"1";"2";"1";"1";"0";"0";"1";"2";"0";"0";"1";"0";"1";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"3";"6";"1";"3";"0";"0";"1";"2";"1";"1";"0";"0";"1";"0";"0";"3";"1";"0";"1";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"1";"4";"0";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Hungary";"6";"1345";"Norbert Hosnyanszky";"1";"3";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0"
"Hungary";"7";"1346";"Zoltan Pohl";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Hungary";"8";"1347";"Szilard Jansik";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"4";"6";"0";"1";"0";"0";"2";"3";"2";"2";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0"
"Hungary";"9";"1348";"Balazs Erdelyi";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"11";"1350";"Tamas Mezei";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"12";"1351";"Balazs Harai";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"1";"0";"0"
"Spain";"11";"1298";"Blai Mallarach";"2";"6";"1";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"2";"1289";"Alberto Munarriz";"4";"5";"0";"1";"1";"1";"2";"2";"1";"1";"0";"0";"1";"1";"0";"1";"0";"2";"1";"1";"0"
"Hungary";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Spain";"3";"1290";"Alvaro Granados";"1";"7";"0";"1";"0";"0";"1";"4";"0";"2";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0"
"Spain";"1";"1288";"Daniel Lopez Pinedo";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"Spain";"4";"1291";"Bernat Sanahuja";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"2";"0"
"Spain";"7";"1294";"Adrian Delgado";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0"
"Spain";"8";"1295";"Francisco Fernandez";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"2";"0";"0"
