"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"2";"1354";"Francesco Di Fulvio";"3";"8";"1";"5";"0";"1";"2";"2";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"2";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Italy";"4";"1356";"Pietro Figlioli";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"0";"0";"0"
"Italy";"3";"1355";"Stefano Luongo";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
"Italy";"6";"1358";"Alessandro Velotto";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Italy";"11";"1363";"Matteo Aicardi";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"9";"464";"Nikola Jaksic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0"
"Serbia";"5";"16";"Milos Cuk";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Serbia";"3";"190";"Nikola Dedovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"7";"1422";"Nemanja Vico";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"6";"1421";"Dusko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"1";"121";"Gojko Pijetlovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"11"
"Italy";"9";"1361";"Niccolo Figari";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"2";"0";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"12";"180";"Stefan Mitrovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0"
"Italy";"10";"1362";"Michael Bodegas";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"8";"407";"Milan Aleksic";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"2";"1";"0";"2";"0";"1";"2";"0";"0"
"Serbia";"11";"379";"Andrija Prlainovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Serbia";"10";"495";"Filip Filipovic";"2";"3";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"2";"1";"0";"0"
"Serbia";"2";"496";"Dusan Mandic";"1";"4";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"4";"0";"0"
