"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Russia";"1";"1405";"Petr Fedotov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"10";"1336";"Christodoulos Kolomvos";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"1";"1";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"1";"8";"0";"6";"0";"0";"1";"2";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"0";"1";"0"
"Greece";"13";"1339";"Konstantinos Galanidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Russia";"4";"1408";"Nikita Dereviankin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0";"0";"1";"0"
"Greece";"11";"1337";"Evgenios Gounas";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"3";"5";"2";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Greece";"9";"1335";"Konstantinos Mourikis";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"1";"0"
"Russia";"2";"1406";"Ivan Suchkov";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Russia";"7";"1411";"Daniil Merkulov";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0"
"Russia";"11";"1415";"Sergey Lisunov";"2";"4";"2";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"4";"0"
"Russia";"8";"1412";"Ivan Nagaev";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"0";"1";"1";"0";"0"
"Russia";"9";"1413";"Igor Bychkov";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0"
"Russia";"10";"1414";"Konstantin Kiselev";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Russia";"12";"1416";"Roman Shepelev";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"1";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Greece";"2";"1328";"Konstantinos Genidounias";"2";"5";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"2";"2";"0";"0";"0"
"Russia";"3";"1407";"Ivan Vasilev";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Russia";"13";"1417";"Vitaly Statsenko";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Greece";"5";"1331";"Ioannis Fountoulis";"1";"6";"0";"3";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0"
"Russia";"5";"1409";"Artem Ashaev";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Greece";"4";"1330";"Marios Kapotsis";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0"
"Russia";"6";"1410";"Konstantin Kharkov";"4";"5";"1";"1";"0";"0";"2";"3";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
