"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"1";"1379";"Eelco Wagenaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"8"
"Netherlands";"2";"1380";"Kjeld Veenhuis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Netherlands";"3";"1381";"Jorn Winkelhorst";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"5";"1";"3";"0";"0";"5";"2";"0"
"Netherlands";"4";"12479";"Lucas Gielen";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"2";"3";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0"
"Netherlands";"6";"12478";"Bilal Gbadamassi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Netherlands";"7";"12482";"Kas Te Riele";"3";"8";"2";"5";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"0"
"Netherlands";"10";"1388";"Pascal Janssen";"2";"4";"0";"1";"0";"0";"1";"2";"1";"1";"0";"0";"1";"1";"2";"1";"2";"0";"2";"0";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"3";"4";"0";"1";"0";"0";"2";"2";"0";"0";"1";"1";"1";"1";"2";"1";"0";"2";"0";"0";"0"
"Netherlands";"12";"1390";"Thomas Lucas";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"2";"0";"0";"0"
"Netherlands";"13";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"1";"1314";"Moritz Schenkel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Germany";"2";"4997";"Zoran Bozic";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"Germany";"4";"186";"Mateo Cuk";"0";"4";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"3";"1";"0";"2";"0";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"2";"5";"2";"3";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"3";"0";"0"
"Germany";"8";"12168";"Lukas Kuppers";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0"
"Germany";"9";"1322";"Marko Stamm";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"1";"2";"1";"0"
"Germany";"10";"11491";"Philipp Dolff";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0"
"Germany";"11";"1478";"Jan Rotermund";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Germany";"12";"5001";"Mark Gansen";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"2";"0";"0"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"9";"12489";"Jorn Muller";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0"
