"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovenia";"11";"12471";"Martin Pus";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"3";"0";"0";"0";"0";"2";"1";"0";"0"
"Slovenia";"10";"12465";"Jan Justin";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Slovenia";"9";"12467";"Jasa Lah - Delete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"0";"0"
"Slovenia";"8";"12469";"Aleksander Paunovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0"
"Slovenia";"7";"12474";"Martin Stele";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovenia";"6";"12462";"Marko Blazic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0"
"Slovenia";"5";"12468";"Matej Nastran";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0"
"Slovenia";"4";"12475";"Aljaz Troppan";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Slovenia";"3";"12466";"Jasa Kadivec";"2";"6";"1";"3";"0";"0";"1";"3";"0";"0";"0";"0";"0";"5";"0";"0";"0";"2";"3";"2";"0"
"Slovenia";"2";"12470";"Benjamin Popovic";"3";"7";"3";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"3";"0";"0"
"Slovenia";"1";"12459";"Jure Beton SLO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Hungary";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
"Hungary";"11";"1347";"Szilard Jansik";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"2";"0";"0";"1";"1";"0";"0"
"Slovenia";"12";"12464";"Aleksander Cerar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"2";"0";"0"
"Hungary";"10";"2367";"Gergo Fekete";"2";"6";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0"
"Hungary";"9";"450";"Toni Josef Nemet";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"3";"0";"0"
"Hungary";"8";"374";"Gergely Burian";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"1";"0";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"4";"9";"1";"4";"1";"1";"1";"3";"0";"0";"1";"1";"3";"0";"2";"0";"0";"0";"0";"1";"0"
"Hungary";"6";"4835";"Erik Molnar";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"2";"1";"0"
"Hungary";"5";"817";"Adam Nagy";"1";"3";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"Hungary";"4";"12455";"Viktor Vadovics";"2";"4";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"4";"0";"2";"1";"0";"2";"0";"1";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"3";"0";"0";"1";"0";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0"
"Hungary";"1";"371";"Marton Levai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5"
"Hungary";"12";"2368";"Vendel Vigvari";"3";"4";"1";"2";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"2";"0";"2";"2";"0";"0";"0"
"Slovenia";"13";"12476";"Gasper Zurbi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"3"
