"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2"
"Italy";"2";"1354";"Francesco Di Fulvio";"3";"7";"1";"5";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"0";"0"
"Italy";"3";"531";"Luca Damonte";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0"
"Italy";"4";"6039";"Matteo Iocchi Gratta";"4";"5";"1";"2";"0";"0";"3";"3";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"0";"0"
"Italy";"5";"135";"Jacopo Alesiani";"2";"4";"0";"0";"0";"0";"1";"3";"0";"0";"1";"1";"3";"0";"1";"0";"1";"1";"0";"0";"0"
"Italy";"6";"136";"Giacomo Cannella";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Italy";"8";"797";"Luca Marziali";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"8";"1";"0";"0";"0";"0";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"2";"0";"0";"0"
"Italy";"10";"532";"Lorenzo Bruni";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"1";"0"
"Italy";"11";"493";"Edoardo Di Somma";"5";"6";"2";"3";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"3";"0";"0";"2";"0";"0";"0"
"Italy";"12";"6037";"Francesco Condemi";"1";"4";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"3";"0";"0";"1";"0";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Slovakia";"1";"1276";"Tomas HOFERICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"14"
"Slovakia";"2";"12487";"Robert Kaid";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"5";"0";"0"
"Slovakia";"3";"4983";"Patrik Tisaj";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Slovakia";"4";"1285";"Andrej Kovacik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0"
"Slovakia";"5";"570";"Lukas Durik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"2";"4";"0"
"Slovakia";"6";"12484";"Branislav Balogh";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0"
"Slovakia";"7";"382";"Lukas Seman";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0"
"Slovakia";"8";"4972";"Dani Baco";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Slovakia";"9";"4976";"Boris Juhasz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Slovakia";"10";"12488";"Maximilan Molnar";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"2";"1";"0"
"Slovakia";"11";"1277";"Matej Caraj DON'T USE";"3";"5";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"2";"6";"1";"3";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0"
"Slovakia";"13";"4981";"Adam Simkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
