"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Malta";"1";"12461";"Jake Tanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Malta";"2";"12460";"Sam Gialanze";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"3";"1425";"Andreas Galea";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"1";"0";"0"
"Malta";"5";"1427";"Darren Zammit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Malta";"6";"1428";"Matthew Zammit";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"5";"1";"0"
"Malta";"7";"1433";"Ben Plumpton";"1";"10";"1";"8";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1";"0";"1";"0";"1";"0";"0";"0"
"Malta";"8";"12456";"Nicholas Bugelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"3";"0";"0"
"Malta";"9";"1431";"Jeremy Abela";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Malta";"10";"12463";"Nikolai Zammit";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"Malta";"11";"12457";"Benjamin Cachia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Malta";"12";"1434";"Dino Zammit";"1";"3";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"Malta";"13";"1423";"Nicholas-Kane Grixti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Croatia";"11";"915";"Andrija Basic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"4";"2";"0";"1";"0";"1";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"4";"7";"1";"2";"0";"0";"1";"3";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"2";"5";"2";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"4";"1";"1";"1";"0";"1";"0";"0"
"Croatia";"7";"79";"Filip Krzic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Croatia";"5";"6";"Franko Lazic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"2";"6";"1";"5";"0";"0";"0";"0";"0";"0";"1";"1";"5";"0";"1";"1";"1";"0";"1";"0";"0"
"Croatia";"4";"54";"Ivan Krapic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"5";"6";"2";"3";"0";"0";"1";"1";"0";"0";"2";"2";"2";"0";"2";"2";"0";"0";"2";"0";"0"
"Croatia";"2";"60";"Rino Buric";"3";"5";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Croatia";"6";"4";"Luka Bukic";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"2";"0";"0";"0";"0";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"4";"12490";"James Gambin";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
