"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Romania";"2";"12434";"Andrei Neamtu";"1";"3";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0"
"Romania";"3";"779";"Francesco Iudean";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Romania";"4";"1399";"Tudor Fulea";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"6";"0";"4";"0";"1";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"2";"3";"0";"0"
"Romania";"7";"12437";"Ionut-Valentin Vranceanu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"Romania";"8";"12435";"Bogdan Remes";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0"
"Romania";"10";"1398";"Vlad Georgescu";"2";"7";"1";"4";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"4";"0";"0"
"Romania";"11";"12436";"Albert-Alexandru Vatrai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"2";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Romania";"13";"12433";"Adrian Mihaluta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Spain";"2";"1289";"Alberto Munarriz";"2";"5";"1";"2";"1";"2";"0";"1";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"5";"7";"3";"4";"0";"0";"2";"3";"0";"0";"0";"0";"2";"0";"2";"1";"1";"0";"1";"0";"0"
"Spain";"4";"11482";"Nikolas Paul Garcia";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"3";"0";"0"
"Spain";"5";"12362";"Fran Valera";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"2";"0";"1";"1";"0";"0"
"Spain";"7";"410";"Martin Famera";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"3";"5";"2";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0"
"Spain";"10";"1297";"Felipe Perrone";"2";"3";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Spain";"11";"356";"Alberto Barroso";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"6"
