"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"11";"915";"Andrija Basic";"2";"4";"1";"2";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"1";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"2";"4";"0";"2";"1";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"2";"5";"1";"2";"1";"2";"0";"1";"0";"0";"0";"0";"0";"2";"5";"0";"0";"1";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"3";"6";"2";"2";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"0";"2";"1";"1";"2";"0";"0"
"Croatia";"2";"60";"Rino Buric";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"4";"54";"Ivan Krapic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"1";"1";"0"
"Croatia";"3";"77";"Loren Fatovic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"2";"4";"1";"1";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"1";"2";"2";"1";"1";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"9"
"Croatia";"5";"6";"Franko Lazic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0"
"France";"3";"1307";"Ugo Crousillat";"2";"5";"0";"2";"0";"0";"1";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0"
"France";"5";"1305";"Enzo Khasz";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"2";"2";"0";"1";"1";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"1";"5";"0";"0";"0";"2";"0";"2";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"1";"0";"0";"0";"2";"0";"0"
"France";"8";"600";"Emil Bjorch";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0"
"France";"10";"1310";"Charles Canonne";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"2";"0";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0"
"France";"12";"11475";"Andrea De Nardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"8"
"Croatia";"7";"7";"Matias Biljaka";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
