"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"3";"1381";"Jorn Winkelhorst";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"2";"0";"0";"0";"0";"0"
"Netherlands";"4";"12479";"Lucas Gielen";"3";"4";"1";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"2";"3";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Netherlands";"6";"12478";"Bilal Gbadamassi";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"0";"0";"0";"0";"0"
"Netherlands";"7";"12482";"Kas Te Riele";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"3";"1";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"9";"12489";"Jorn Muller";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Netherlands";"10";"1388";"Pascal Janssen";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"1";"1";"1";"1";"0";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"2";"6";"1";"4";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0"
"Netherlands";"13";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"1";"1379";"Eelco Wagenaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Spain";"2";"1289";"Alberto Munarriz";"2";"7";"0";"3";"1";"3";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"2";"8";"0";"4";"0";"0";"0";"2";"1";"1";"1";"1";"3";"1";"0";"1";"0";"0";"2";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"1";"0";"0"
"Spain";"7";"410";"Martin Famera";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"11";"356";"Alberto Barroso";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"9"
"Netherlands";"2";"12477";"Tom de Weerd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0"
"Netherlands";"12";"12481";"Flemming Kastrop";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"1";"0"
