"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"2";"4997";"Zoran Bozic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"Germany";"4";"186";"Mateo Cuk";"2";"3";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"2";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"1";"4";"0";"1";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"3";"0";"0"
"Germany";"10";"11491";"Philipp Dolff";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Germany";"8";"12168";"Lukas Kuppers";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Germany";"9";"1322";"Marko Stamm";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0"
"Germany";"1";"1314";"Moritz Schenkel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"12"
"Germany";"11";"12169";"Niclas Schipper";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"1";"7";"1";"5";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Romania";"13";"12433";"Adrian Mihaluta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0"
"Romania";"11";"12436";"Albert-Alexandru Vatrai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"10";"1398";"Vlad Georgescu";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"3";"0";"1";"0";"1";"1";"2";"0";"0"
"Germany";"12";"5001";"Mark Gansen";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Romania";"8";"12435";"Bogdan Remes";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"0";"0"
"Romania";"7";"12437";"Ionut-Valentin Vranceanu";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"1";"2";"1";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Romania";"4";"1399";"Tudor Fulea";"5";"11";"3";"9";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0"
"Romania";"3";"779";"Francesco Iudean";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"2";"12434";"Andrei Neamtu";"1";"6";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"10"
"Romania";"12";"1403";"Levente Vancsik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"1";"0"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
