"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovenia";"1";"12459";"Jure Beton SLO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"8"
"Slovenia";"13";"12476";"Gasper Zurbi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovenia";"2";"12470";"Benjamin Popovic";"1";"7";"0";"5";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Slovenia";"3";"12466";"Jasa Kadivec";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0"
"Slovenia";"5";"12468";"Matej Nastran";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Slovenia";"6";"12462";"Marko Blazic";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0"
"Slovenia";"10";"12465";"Jan Justin";"1";"5";"0";"3";"0";"0";"0";"1";"1";"1";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0";"0"
"Slovenia";"11";"12471";"Martin Pus";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"0"
"Slovenia";"12";"12464";"Aleksander Cerar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Israel";"2";"12452";"Or Schlein";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Israel";"3";"12444";"Ronen Gros";"3";"7";"1";"3";"0";"0";"1";"2";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Israel";"5";"12451";"Yoav Rendler";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"Israel";"6";"12447";"Gal Haimovich";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Israel";"7";"819";"Tamir Fried";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"5";"0";"2";"2";"0";"0"
"Israel";"9";"12450";"Dor Koter";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0"
"Israel";"10";"12445";"Nir Gross";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"2";"1";"0"
"Slovenia";"4";"12472";"Matic Rahne";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"Israel";"1";"12441";"Yahav Fire";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"11"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"11";"12449";"Itamar Kolodny";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Israel";"12";"12442";"Tal Fotin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"3";"0";"1";"0"
"Slovenia";"7";"12474";"Martin Stele";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Slovenia";"8";"12475";"Aljaz Troppan";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"1";"0";"0";"1";"0";"0"
"Slovenia";"9";"12473";"Vukasin Stefanovic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
