"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"1";"0";"0";"1";"0";"0"
"Greece";"9";"12454";"Nikolaos Kopeliadis";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0"
"Greece";"8";"11477";"Ioannis Alafragkis";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Greece";"5";"1334";"Stylianos Argyropoulos";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"2";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"2";"0";"0"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"7";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0"
"Greece";"1";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"2";"5";"2";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"2";"6";"1";"4";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0"
"Greece";"13";"11476";"Konstatinos Limarakis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"12"
"Croatia";"2";"60";"Rino Buric";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"3";"0";"0"
"Croatia";"4";"54";"Ivan Krapic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Croatia";"5";"6";"Franko Lazic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"0";"4";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0"
"Croatia";"7";"7";"Matias Biljaka";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"1";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"1";"6";"0";"2";"0";"1";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"11";"915";"Andrija Basic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"2";"1";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
