"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"11";"12455";"Viktor Vadovics";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"3";"0";"4";"0";"1";"0";"0";"0";"0"
"Hungary";"10";"2367";"Gergo Fekete";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"2";"1";"0";"0"
"Hungary";"9";"450";"Toni Josef Nemet";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Hungary";"8";"374";"Gergely Burian";"3";"6";"1";"3";"0";"0";"1";"2";"0";"0";"1";"1";"3";"1";"1";"0";"1";"1";"0";"0";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"0";"0";"1";"1";"0";"0"
"Hungary";"2";"12356";"Gyorgy Agh";"1";"5";"0";"2";"0";"0";"0";"2";"1";"1";"0";"0";"0";"5";"1";"0";"0";"0";"2";"0";"0"
"Hungary";"5";"817";"Adam Nagy";"2";"4";"2";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0"
"Hungary";"4";"2376";"Akos Konarik";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"6";"6";"3";"3";"0";"0";"2";"2";"0";"0";"1";"1";"2";"1";"2";"1";"0";"0";"1";"0";"0"
"Hungary";"12";"2368";"Vendel Vigvari";"4";"6";"1";"3";"0";"0";"2";"2";"0";"0";"1";"1";"1";"1";"1";"1";"2";"0";"0";"0";"0"
"Hungary";"1";"371";"Marton Levai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3"
"Hungary";"6";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"5";"12451";"Yoav Rendler";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Israel";"3";"12444";"Ronen Gros";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"1";"4";"0";"0"
"Israel";"2";"12452";"Or Schlein";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"0"
"Israel";"1";"12441";"Yahav Fire";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Israel";"6";"12447";"Gal Haimovich";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Israel";"7";"12442";"Tal Fotin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0"
"Israel";"9";"12450";"Dor Koter";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Israel";"10";"12440";"Ori Buzaglo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0"
"Israel";"11";"12449";"Itamar Kolodny";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Israel";"12";"12446";"Tom Grundlyand";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
